dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2015,4,concept,global_stack_concept_intercept,dkt,valid,134592,3818,cluster,0.730485,0.006203,0.727083,0.003402,0.002574,0.004235,0.001,0.006999,-0.000796,0.536732,0.730614,-0.000129,-0.000552,0.000294,0.566717,0.004721,0.001482,0.150925,0.015,True,1.0,False,1.0,False,1.0,False
assist2015,4,concept,linear_gating,dkt,valid,134592,3818,cluster,0.723867,0.038579,0.727083,-0.003216,-0.004718,-0.001736,0.001,0.006999,0.031581,0.001,0.730614,-0.006747,-0.007683,-0.005783,0.001,0.004721,0.033858,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2017,0,concept,static_concept_weights,akt,valid,177767,341,cluster,0.770687,0.00478,0.758263,0.012424,0.011287,0.01357,0.001,0.015664,-0.010884,0.001,0.769958,0.000729,0.000239,0.00118,0.004998,0.004208,0.000572,0.404798,0.015,True,0.015,True,0.029988,True,1.0,False
assist2017,0,concept,global_stack_concept_intercept,akt,valid,177767,341,cluster,0.770828,0.005061,0.758263,0.012564,0.011493,0.013638,0.001,0.015664,-0.010603,0.001,0.769958,0.000869,0.000554,0.001183,0.001,0.004208,0.000853,0.287856,0.015,True,0.015,True,0.015,True,1.0,False
assist2017,0,concept,linear_gating,akt,valid,177767,341,cluster,0.764521,0.032602,0.758263,0.006258,0.0051,0.007409,0.001,0.015664,0.016939,0.001,0.769958,-0.005438,-0.006179,-0.004751,0.001,0.004208,0.028395,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2017,1,concept,static_concept_weights,akt,valid,177767,341,cluster,0.771435,0.005043,0.758171,0.013264,0.012079,0.014456,0.001,0.015759,-0.010716,0.001,0.770683,0.000753,0.000332,0.001172,0.002999,0.004297,0.000746,0.532734,0.015,True,0.015,True,0.020992999999999998,True,1.0,False
assist2017,1,concept,global_stack_concept_intercept,akt,valid,177767,341,cluster,0.771343,0.004085,0.758171,0.013172,0.011992,0.014363,0.001,0.015759,-0.011674,0.001,0.770683,0.00066,0.000362,0.000957,0.001,0.004297,-0.000212,0.698651,0.015,True,0.015,True,0.015,True,1.0,False
assist2017,1,concept,linear_gating,akt,valid,177767,341,cluster,0.764966,0.034097,0.758171,0.006795,0.005524,0.008129,0.001,0.015759,0.018339,0.001,0.770683,-0.005716,-0.006423,-0.00506,0.001,0.004297,0.0298,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2017,2,concept,static_concept_weights,akt,valid,177767,341,cluster,0.769396,0.005833,0.757625,0.01177,0.010575,0.013011,0.001,0.017903,-0.01207,0.001,0.768838,0.000557,1.9e-05,0.001106,0.04098,0.006604,-0.000771,0.902549,0.015,True,0.015,True,0.12294000000000001,False,1.0,False
assist2017,2,concept,global_stack_concept_intercept,akt,valid,177767,341,cluster,0.769299,0.007222,0.757625,0.011674,0.010609,0.012818,0.001,0.017903,-0.010681,0.001,0.768838,0.000461,0.0001,0.000831,0.018991,0.006604,0.000618,0.61969,0.015,True,0.015,True,0.075964,False,1.0,False
assist2017,2,concept,linear_gating,akt,valid,177767,341,cluster,0.764094,0.039405,0.757625,0.006469,0.005374,0.007644,0.001,0.017903,0.021502,0.001,0.768838,-0.004744,-0.005394,-0.004138,0.001,0.006604,0.032802,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2017,3,concept,static_concept_weights,akt,valid,177767,341,cluster,0.769895,0.00436,0.758611,0.011284,0.010156,0.012424,0.001,0.017114,-0.012754,0.001,0.769464,0.000431,-1.8e-05,0.000917,0.065967,0.004129,0.000231,0.712644,0.015,True,0.015,True,0.131934,False,1.0,False
assist2017,3,concept,global_stack_concept_intercept,akt,valid,177767,341,cluster,0.770003,0.002789,0.758611,0.011392,0.010318,0.012482,0.001,0.017114,-0.014325,0.001,0.769464,0.000539,0.000194,0.000892,0.001,0.004129,-0.00134,0.531734,0.015,True,0.015,True,0.015,True,1.0,False
assist2017,3,concept,linear_gating,akt,valid,177767,341,cluster,0.763321,0.040402,0.758611,0.004711,0.003651,0.005803,0.001,0.017114,0.023288,0.001,0.769464,-0.006143,-0.006999,-0.005371,0.001,0.004129,0.036273,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2017,4,concept,static_concept_weights,simplekt,valid,177767,341,cluster,0.772146,0.006403,0.757588,0.014558,0.013159,0.015967,0.001,0.030158,-0.023756,0.001,0.772106,4e-05,-0.000447,0.000536,0.853573,0.007563,-0.00116,0.372814,0.015,True,0.015,True,0.853573,False,1.0,False
assist2017,4,concept,global_stack_concept_intercept,simplekt,valid,177767,341,cluster,0.772531,0.006384,0.757588,0.014943,0.013557,0.016369,0.001,0.030158,-0.023774,0.001,0.772106,0.000425,8.1e-05,0.000775,0.012994,0.007563,-0.001178,0.486757,0.015,True,0.015,True,0.06497,False,1.0,False
