dataset,fold,scheme,seed,auc,static_auc,lift_vs_static
assist2012,4,attention,3,0.778095,0.778707,-0.000612
assist2012,4,moe,3,0.774799,0.778707,-0.003907
assist2012,4,attention,4,0.778237,0.778707,-0.00047
assist2012,4,moe,4,0.775163,0.778707,-0.003544
assist2015,0,attention,0,0.730065,0.728832,0.001233
assist2015,0,moe,0,0.726339,0.728832,-0.002493
assist2015,0,attention,1,0.730203,0.728832,0.001371
assist2015,0,moe,1,0.726961,0.728832,-0.001871
assist2015,0,attention,2,0.729968,0.728832,0.001136
assist2015,0,moe,2,0.726523,0.728832,-0.002309
assist2015,0,attention,3,0.730089,0.728832,0.001257
assist2015,0,moe,3,0.725951,0.728832,-0.002881
assist2015,0,attention,4,0.729993,0.728832,0.001161
assist2015,0,moe,4,0.726,0.728832,-0.002832
assist2015,1,attention,0,0.729734,0.729401,0.000334
assist2015,1,moe,0,0.7268,0.729401,-0.002601
assist2015,1,attention,1,0.729788,0.729401,0.000388
assist2015,1,moe,1,0.72551,0.729401,-0.00389
assist2015,1,attention,2,0.729783,0.729401,0.000382
assist2015,1,moe,2,0.726875,0.729401,-0.002526
assist2015,1,attention,3,0.729648,0.729401,0.000247
assist2015,1,moe,3,0.72573,0.729401,-0.003671
assist2015,1,attention,4,0.729684,0.729401,0.000283
assist2015,1,moe,4,0.725847,0.729401,-0.003553
assist2015,2,attention,0,0.730031,0.729328,0.000704
assist2015,2,moe,0,0.725799,0.729328,-0.003529
assist2015,2,attention,1,0.730165,0.729328,0.000837
assist2015,2,moe,1,0.726823,0.729328,-0.002505
assist2015,2,attention,2,0.730048,0.729328,0.00072
assist2015,2,moe,2,0.726365,0.729328,-0.002962
assist2015,2,attention,3,0.730172,0.729328,0.000844
assist2015,2,moe,3,0.726285,0.729328,-0.003042
assist2015,2,attention,4,0.730173,0.729328,0.000845
assist2015,2,moe,4,0.726767,0.729328,-0.002561
assist2015,3,attention,0,0.729409,0.728826,0.000583
assist2015,3,moe,0,0.726101,0.728826,-0.002725
assist2015,3,attention,1,0.729444,0.728826,0.000618
assist2015,3,moe,1,0.726105,0.728826,-0.002721
assist2015,3,attention,2,0.729384,0.728826,0.000558
assist2015,3,moe,2,0.725436,0.728826,-0.00339
assist2015,3,attention,3,0.729356,0.728826,0.00053
assist2015,3,moe,3,0.72523,0.728826,-0.003596
assist2015,3,attention,4,0.729385,0.728826,0.000559
assist2015,3,moe,4,0.726195,0.728826,-0.002631
assist2015,4,attention,0,0.730054,0.728809,0.001245
assist2015,4,moe,0,0.725146,0.728809,-0.003663
assist2015,4,attention,1,0.729967,0.728809,0.001157
assist2015,4,moe,1,0.725963,0.728809,-0.002846
assist2015,4,attention,2,0.730094,0.728809,0.001285
assist2015,4,moe,2,0.727019,0.728809,-0.001791
assist2015,4,attention,3,0.72998,0.728809,0.001171
assist2015,4,moe,3,0.726368,0.728809,-0.002441
assist2015,4,attention,4,0.729963,0.728809,0.001154
assist2015,4,moe,4,0.726974,0.728809,-0.001836
assist2017,0,attention,0,0.769132,0.770687,-0.001556
assist2017,0,moe,0,0.763566,0.770687,-0.007122
assist2017,0,attention,1,0.769023,0.770687,-0.001665
assist2017,0,moe,1,0.763678,0.770687,-0.00701
assist2017,0,attention,2,0.768998,0.770687,-0.001689
assist2017,0,moe,2,0.765056,0.770687,-0.005632
assist2017,0,attention,3,0.76912,0.770687,-0.001567
assist2017,0,moe,3,0.765077,0.770687,-0.005611
assist2017,0,attention,4,0.769112,0.770687,-0.001576
assist2017,0,moe,4,0.765277,0.770687,-0.00541
assist2017,1,attention,0,0.76998,0.771435,-0.001455
assist2017,1,moe,0,0.764511,0.771435,-0.006924
assist2017,1,attention,1,0.769859,0.771435,-0.001576
assist2017,1,moe,1,0.764897,0.771435,-0.006538
assist2017,1,attention,2,0.769914,0.771435,-0.001521
assist2017,1,moe,2,0.765484,0.771435,-0.005951
assist2017,1,attention,3,0.76999,0.771435,-0.001446
assist2017,1,moe,3,0.764785,0.771435,-0.006651
assist2017,1,attention,4,0.769988,0.771435,-0.001448
