dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
assist2012,0,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,439766,536087,0.778567,0.001781,0.166071,0.777844,0.002019,0.166303,0.771622,0.026273,0.169221,0.772909,0.014961,0.168261,0.777308,0.006081,0.166763,0.0044,-0.000535,-0.001259,-0.00888,0.004062,0.004299,0.778512,0.002217,0.166091,0.005603,0.000668,-5.5e-05,-0.012744,0.000198,0.000435,0.778451,0.001859,0.166107,0.005543,0.000608,-0.000116,-0.013101,-0.00016,7.8e-05,0.777385,0.006114,0.166731,0.004477,-0.000458,-0.001182,-0.008846,0.004095,0.004333
assist2012,1,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,432602,536087,0.778928,0.003226,0.166014,0.778036,0.002064,0.166272,0.771671,0.024466,0.169108,0.772772,0.014935,0.168316,0.777452,0.007065,0.166702,0.004679,-0.000584,-0.001477,-0.00787,0.005001,0.003838,0.778838,0.003848,0.16606,0.006066,0.000803,-9e-05,-0.011087,0.001784,0.000622,0.77884,0.004006,0.166046,0.006067,0.000804,-8.9e-05,-0.010929,0.001942,0.000779,0.777545,0.007766,0.166669,0.004773,-0.00049,-0.001383,-0.007169,0.005702,0.00454
assist2012,2,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,424912,536087,0.778502,0.002746,0.16613,0.777755,0.001825,0.16635,0.770889,0.024337,0.169446,0.771735,0.014769,0.168718,0.777015,0.006592,0.166866,0.005281,-0.00074,-0.001487,-0.008178,0.004767,0.003846,0.778439,0.002354,0.166158,0.006704,0.000684,-6.3e-05,-0.012415,0.000529,-0.000392,0.778444,0.002523,0.166141,0.006709,0.000689,-5.9e-05,-0.012246,0.000698,-0.000223,0.777074,0.007111,0.166844,0.00534,-0.000681,-0.001428,-0.007659,0.005286,0.004365
assist2012,3,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,419158,536087,0.778609,0.002641,0.166109,0.777817,0.001666,0.166318,0.771283,0.024788,0.169284,0.771509,0.014137,0.168699,0.777274,0.008087,0.166778,0.005765,-0.000543,-0.001336,-0.00605,0.006421,0.005446,0.778538,0.003007,0.166148,0.007029,0.00072,-7.2e-05,-0.011129,0.001342,0.000366,0.778509,0.003128,0.166164,0.007,0.000692,-0.0001,-0.011009,0.001462,0.000487,0.777332,0.008318,0.166768,0.005824,-0.000485,-0.001277,-0.005819,0.006652,0.005676
assist2012,4,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,423475,536087,0.778707,0.00244,0.166066,0.778014,0.002003,0.166279,0.771679,0.022791,0.169189,0.772492,0.01261,0.168315,0.777269,0.006959,0.166749,0.004776,-0.000745,-0.001438,-0.005652,0.004956,0.004519,0.778634,0.002643,0.166101,0.006141,0.00062,-7.3e-05,-0.009967,0.00064,0.000203,0.778728,0.002772,0.166049,0.006235,0.000714,2.1e-05,-0.009838,0.000769,0.000332,0.777369,0.007002,0.166726,0.004877,-0.000645,-0.001337,-0.005608,0.004999,0.004562
ednet,0,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,77883,132209,0.679223,0.015646,0.204232,0.665357,0.015092,0.207719,0.63232,0.086524,0.227431,0.658462,0.148408,0.237773,0.685011,0.022655,0.20398,0.026549,0.019654,0.005788,-0.125754,0.007563,0.007009,0.67905,0.010129,0.204059,0.020588,0.013693,-0.000174,-0.138279,-0.004963,-0.005517,0.679211,0.013822,0.203979,0.020749,0.013854,-1.2e-05,-0.134587,-0.00127,-0.001824,0.684799,0.023453,0.203892,0.026337,0.019442,0.005576,-0.124955,0.008361,0.007807
ednet,1,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,110391,132209,0.682024,0.026042,0.203889,0.664904,0.028481,0.208277,0.63288,0.085113,0.227789,0.659407,0.132468,0.232739,0.687563,0.02428,0.203061,0.028156,0.022658,0.005539,-0.108188,-0.004201,-0.001762,0.681887,0.021682,0.203496,0.02248,0.016982,-0.000137,-0.110786,-0.006799,-0.004361,0.683055,0.020974,0.203316,0.023648,0.01815,0.001031,-0.111494,-0.007507,-0.005068,0.687046,0.025354,0.203014,0.02764,0.022142,0.005023,-0.107114,-0.003127,-0.000688
ednet,2,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,85108,132209,0.676976,0.0176,0.204734,0.662051,0.013229,0.208276,0.632649,0.087569,0.22719,0.657867,0.146561,0.237687,0.682993,0.023006,0.204262,0.025126,0.020942,0.006017,-0.123555,0.009778,0.005406,0.676902,0.007751,0.204347,0.019035,0.014851,-7.5e-05,-0.138811,-0.005478,-0.00985,0.679598,0.009868,0.203997,0.021732,0.017547,0.002622,-0.136693,-0.00336,-0.007732,0.682975,0.02258,0.204215,0.025108,0.020924,0.005999,-0.123982,0.009351,0.004979
ednet,3,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,90433,132209,0.676326,0.027809,0.205063,0.659729,0.022827,0.209043,0.632972,0.085275,0.226925,0.65679,0.145087,0.237052,0.683214,0.024853,0.204252,0.026424,0.023485,0.006888,-0.120234,0.002026,-0.002957,0.676641,0.018321,0.204417,0.019851,0.016911,0.000314,-0.126766,-0.004506,-0.009488,0.677218,0.019651,0.204435,0.020428,0.017489,0.000892,-0.125436,-0.003176,-0.008158,0.682862,0.023686,0.204193,0.026072,0.023133,0.006536,-0.121401,0.000859,-0.004123
ednet,4,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,92249,132209,0.676922,0.014804,0.204474,0.660204,0.017402,0.208855,0.630837,0.08795,0.229484,0.653691,0.142891,0.238855,0.685137,0.01798,0.203784,0.031447,0.024933,0.008215,-0.124911,0.000578,0.003177,0.67673,0.007611,0.204221,0.02304,0.016526,-0.000192,-0.135281,-0.009792,-0.007193,0.678133,0.008306,0.204145,0.024442,0.017929,0.001211,-0.134585,-0.009096,-0.006498,0.685137,0.017923,0.203733,0.031447,0.024933,0.008215,-0.124968,0.000521,0.00312
