dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
assist2012,0,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,439766,536087,0.778567,0.001781,0.166071,0.777844,0.002019,0.166303,0.771622,0.026273,0.169221,0.772909,0.014961,0.168261,0.774078,0.004231,0.167688,0.001169,-0.003766,-0.00449,-0.010729,0.002212,0.00245,0.778496,0.001985,0.1661,0.005588,0.000653,-7.1e-05,-0.012976,-3.4e-05,0.000203,0.778425,0.002139,0.166127,0.005517,0.000582,-0.000142,-0.012821,0.00012,0.000358,0.774165,0.012985,0.167948,0.001256,-0.003679,-0.004402,-0.001976,0.010966,0.011203
assist2012,1,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,432602,536087,0.778928,0.003226,0.166014,0.778036,0.002064,0.166272,0.771671,0.024466,0.169108,0.772772,0.014935,0.168316,0.774893,0.003908,0.167446,0.002121,-0.003143,-0.004035,-0.011027,0.001844,0.000681,0.77885,0.002715,0.166051,0.006077,0.000814,-7.9e-05,-0.01222,0.000651,-0.000512,0.77882,0.00273,0.166048,0.006048,0.000784,-0.000108,-0.012204,0.000667,-0.000496,0.774996,0.012227,0.167682,0.002224,-0.00304,-0.003933,-0.002708,0.010163,0.009
assist2012,2,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,424912,536087,0.778502,0.002746,0.16613,0.777755,0.001825,0.16635,0.770889,0.024337,0.169446,0.771735,0.014769,0.168718,0.773964,0.004383,0.167708,0.00223,-0.003791,-0.004538,-0.010386,0.002558,0.001637,0.778458,0.002055,0.166154,0.006723,0.000703,-4.4e-05,-0.012714,0.00023,-0.000691,0.778424,0.002302,0.166164,0.006689,0.000669,-7.8e-05,-0.012467,0.000477,-0.000444,0.77409,0.012511,0.167946,0.002355,-0.003665,-0.004412,-0.002258,0.010686,0.009765
assist2012,3,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,419158,536087,0.778609,0.002641,0.166109,0.777817,0.001666,0.166318,0.771283,0.024788,0.169284,0.771509,0.014137,0.168699,0.773882,0.003339,0.167771,0.002373,-0.003935,-0.004727,-0.010798,0.001673,0.000697,0.77852,0.002029,0.166148,0.007011,0.000703,-8.9e-05,-0.012107,0.000364,-0.000612,0.778508,0.002032,0.166148,0.006999,0.000691,-0.000101,-0.012105,0.000366,-0.00061,0.773963,0.011458,0.168003,0.002454,-0.003854,-0.004646,-0.002679,0.009792,0.008816
assist2012,4,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,423475,536087,0.778707,0.00244,0.166066,0.778014,0.002003,0.166279,0.771679,0.022791,0.169189,0.772492,0.01261,0.168315,0.774146,0.003936,0.167589,0.001654,-0.003868,-0.00456,-0.008675,0.001933,0.001496,0.778631,0.002548,0.1661,0.006138,0.000617,-7.6e-05,-0.010063,0.000545,0.000108,0.778697,0.002571,0.166054,0.006204,0.000683,-1e-05,-0.010039,0.000569,0.000132,0.774206,0.012334,0.167827,0.001714,-0.003808,-0.0045,-0.000277,0.010331,0.009894
ednet,0,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,77883,132209,0.679223,0.015646,0.204232,0.665357,0.015092,0.207719,0.63232,0.086524,0.227431,0.658462,0.148408,0.237773,0.667523,0.009609,0.205865,0.009061,0.002166,-0.011701,-0.1388,-0.005483,-0.006037,0.679019,0.005582,0.203874,0.020557,0.013662,-0.000205,-0.142827,-0.00951,-0.010064,0.680205,0.007071,0.203786,0.021743,0.014848,0.000982,-0.141337,-0.00802,-0.008575,0.667918,0.012199,0.206228,0.009456,0.002561,-0.011305,-0.136209,-0.002892,-0.003447
ednet,1,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,110391,132209,0.682024,0.026042,0.203889,0.664904,0.028481,0.208277,0.63288,0.085113,0.227789,0.659407,0.132468,0.232739,0.676151,0.029532,0.205214,0.016744,0.011247,-0.005873,-0.102936,0.001051,0.003489,0.682033,0.024439,0.203608,0.022626,0.017128,9e-06,-0.108029,-0.004042,-0.001603,0.682518,0.027926,0.203767,0.023112,0.017614,0.000494,-0.104542,-0.000555,0.001884,0.676644,0.028378,0.205649,0.017237,0.01174,-0.00538,-0.10409,-0.000103,0.002336
ednet,2,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,85108,132209,0.676976,0.0176,0.204734,0.662051,0.013229,0.208276,0.632649,0.087569,0.22719,0.657867,0.146561,0.237687,0.66739,0.020127,0.206477,0.009523,0.005339,-0.009586,-0.126434,0.006899,0.002527,0.676795,0.007172,0.204342,0.018928,0.014744,-0.000182,-0.139389,-0.006056,-0.010428,0.678576,0.011894,0.204317,0.02071,0.016525,0.0016,-0.134667,-0.001334,-0.005706,0.667549,0.019592,0.207058,0.009682,0.005498,-0.009427,-0.12697,0.006363,0.001991
ednet,3,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,90433,132209,0.676326,0.027809,0.205063,0.659729,0.022827,0.209043,0.632972,0.085275,0.226925,0.65679,0.145087,0.237052,0.66815,0.030217,0.206951,0.01136,0.008421,-0.008176,-0.11487,0.00739,0.002408,0.676315,0.020737,0.204625,0.019525,0.016586,-1.1e-05,-0.12435,-0.00209,-0.007072,0.676973,0.029385,0.205048,0.020183,0.017244,0.000647,-0.115701,0.006558,0.001576,0.669152,0.019977,0.206596,0.012362,0.009423,-0.007174,-0.12511,-0.00285,-0.007832
ednet,4,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,92249,132209,0.676922,0.014804,0.204474,0.660204,0.017402,0.208855,0.630837,0.08795,0.229484,0.653691,0.142891,0.238855,0.669818,0.009229,0.205756,0.016127,0.009614,-0.007105,-0.133662,-0.008173,-0.005575,0.676873,0.005073,0.20413,0.023182,0.016669,-4.9e-05,-0.137818,-0.012329,-0.009731,0.67721,0.009689,0.204444,0.023519,0.017006,0.000288,-0.133202,-0.007713,-0.005115,0.670125,0.010918,0.206123,0.016434,0.009921,-0.006798,-0.131973,-0.006484,-0.003886
