dataset,fold,subset,meta_learner,models_in_subset,n_valid,n_test,stacked_auc,stacked_ece,stacked_brier,mean_auc,mean_ece,mean_brier,best_single_model,best_single_selected_on,best_single_auc,best_single_ece,best_single_brier,best_single_on_test_model,best_single_on_test_auc,lift_stacked_vs_test_best_auc,lift_stacked_vs_mean_auc,lift_stacked_vs_best_auc,lift_stacked_vs_mean_ece,lift_stacked_vs_best_ece,weight_bkt,weight_pfa,weight_pfa_recency,weight_elorasch,weight_dkt,weight_sakt,weight_akt,weight_simplekt
assist2009,3,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",50615,53148,0.742028,0.011134,0.189959,0.732568,0.037035,0.19541,bkt,valid,0.726632,0.019525,0.195604,bkt,0.726632,0.015396,0.00946,0.015396,-0.025901,-0.008391,nan,nan,nan,nan,,,,
assist2009,3,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",50615,53148,0.741454,0.009038,0.190106,0.732568,0.037035,0.19541,bkt,valid,0.726632,0.019525,0.195604,bkt,0.726632,0.014822,0.008886,0.014822,-0.027997,-0.010487,nan,nan,nan,nan,,,,
assist2009,3,deep,logistic_stacked,"dkt,sakt,akt,simplekt",49836,52254,0.781343,0.013,0.177403,0.777574,0.017262,0.178641,simplekt,valid,0.767424,0.057253,0.186466,simplekt,0.767424,0.013919,0.003768,0.013919,-0.004262,-0.044253,,,,,0.320256,0.073497,0.186823,0.348085
assist2009,3,deep,ridge_stacked,"dkt,sakt,akt,simplekt",49836,52254,0.781343,0.012999,0.177403,0.777574,0.017262,0.178641,simplekt,valid,0.767424,0.057253,0.186466,simplekt,0.767424,0.013919,0.003768,0.013919,-0.004263,-0.044254,,,,,0.320317,0.073465,0.186805,0.348099
assist2009,3,deep,bma,"dkt,sakt,akt,simplekt",49836,52254,0.758337,0.019604,0.185216,0.777574,0.017262,0.178641,simplekt,valid,0.767424,0.057253,0.186466,simplekt,0.767424,-0.009087,-0.019238,-0.009087,0.002342,-0.037649,,,,,0.0,0.0,1.0,0.0
assist2009,3,deep,xgb_stacked,"dkt,sakt,akt,simplekt",49836,52254,0.780367,0.011983,0.17758,0.777574,0.017262,0.178641,simplekt,valid,0.767424,0.057253,0.186466,simplekt,0.767424,0.012943,0.002792,0.012943,-0.005278,-0.045269,,,,,nan,nan,nan,nan
assist2009,3,deep,mlp_stacked,"dkt,sakt,akt,simplekt",49836,52254,0.781249,0.009009,0.177324,0.777574,0.017262,0.178641,simplekt,valid,0.767424,0.057253,0.186466,simplekt,0.767424,0.013825,0.003674,0.013825,-0.008253,-0.048244,,,,,nan,nan,nan,nan
assist2009,4,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",45637,53148,0.740513,0.011005,0.190519,0.73249,0.037019,0.195604,bkt,valid,0.725994,0.020951,0.195899,bkt,0.725994,0.014519,0.008023,0.014519,-0.026015,-0.009946,0.642996,-0.19123,0.307434,0.852405,,,,
assist2009,4,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",45637,53148,0.740513,0.011005,0.190519,0.73249,0.037019,0.195604,bkt,valid,0.725994,0.020951,0.195899,bkt,0.725994,0.014519,0.008023,0.014519,-0.026015,-0.009946,0.642996,-0.19123,0.307434,0.852405,,,,
assist2009,4,classical,bma,"bkt,pfa,pfa_recency,elorasch",45637,53148,0.725994,0.020951,0.195899,0.73249,0.037019,0.195604,bkt,valid,0.725994,0.020951,0.195899,bkt,0.725994,0.0,-0.006496,0.0,-0.016069,0.0,1.0,0.0,0.0,0.0,,,,
assist2009,4,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",45637,53148,0.740778,0.007095,0.190055,0.73249,0.037019,0.195604,bkt,valid,0.725994,0.020951,0.195899,bkt,0.725994,0.014784,0.008288,0.014784,-0.029924,-0.013855,nan,nan,nan,nan,,,,
assist2009,4,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",45637,53148,0.740783,0.014723,0.190596,0.73249,0.037019,0.195604,bkt,valid,0.725994,0.020951,0.195899,bkt,0.725994,0.014789,0.008293,0.014789,-0.022296,-0.006227,nan,nan,nan,nan,,,,
assist2009,4,deep,logistic_stacked,"dkt,sakt,akt,simplekt",44892,52254,0.782027,0.010668,0.177038,0.776597,0.029325,0.179302,simplekt,valid,0.766135,0.111292,0.197373,simplekt,0.766135,0.015892,0.005429,0.015892,-0.018657,-0.100624,,,,,0.360342,0.060203,0.156251,0.24422
assist2009,4,deep,ridge_stacked,"dkt,sakt,akt,simplekt",44892,52254,0.782042,0.011099,0.177037,0.776597,0.029325,0.179302,simplekt,valid,0.766135,0.111292,0.197373,simplekt,0.766135,0.015907,0.005444,0.015907,-0.018226,-0.100193,,,,,0.351839,0.064566,0.157815,0.244248
assist2009,4,deep,bma,"dkt,sakt,akt,simplekt",44892,52254,0.752466,0.019178,0.186592,0.776597,0.029325,0.179302,simplekt,valid,0.766135,0.111292,0.197373,simplekt,0.766135,-0.013669,-0.024131,-0.013669,-0.010147,-0.092114,,,,,1.0,0.0,0.0,0.0
assist2009,4,deep,xgb_stacked,"dkt,sakt,akt,simplekt",44892,52254,0.781955,0.009312,0.177064,0.776597,0.029325,0.179302,simplekt,valid,0.766135,0.111292,0.197373,simplekt,0.766135,0.01582,0.005357,0.01582,-0.020013,-0.10198,,,,,nan,nan,nan,nan
assist2009,4,deep,mlp_stacked,"dkt,sakt,akt,simplekt",44892,52254,0.782433,0.007047,0.176792,0.776597,0.029325,0.179302,simplekt,valid,0.766135,0.111292,0.197373,simplekt,0.766135,0.016298,0.005836,0.016298,-0.022278,-0.104245,,,,,nan,nan,nan,nan
assist2015,0,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",105831,138458,0.706784,0.007482,0.175545,0.699013,0.026594,0.178059,bkt,valid,0.69884,0.007777,0.177055,bkt,0.69884,0.007944,0.00777,0.007944,-0.019112,-0.000295,0.817021,-0.475366,0.357954,0.80012,,,,
assist2015,0,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",105831,138458,0.706783,0.007488,0.175546,0.699013,0.026594,0.178059,bkt,valid,0.69884,0.007777,0.177055,bkt,0.69884,0.007943,0.00777,0.007943,-0.019106,-0.000289,0.81724,-0.476581,0.358693,0.800795,,,,
assist2015,0,classical,bma,"bkt,pfa,pfa_recency,elorasch",105831,138458,0.69884,0.007777,0.177055,0.699013,0.026594,0.178059,bkt,valid,0.69884,0.007777,0.177055,bkt,0.69884,0.0,-0.000173,0.0,-0.018817,0.0,1.0,0.0,0.0,0.0,,,,
assist2015,0,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",105831,138458,0.709755,0.0071,0.174839,0.699013,0.026594,0.178059,bkt,valid,0.69884,0.007777,0.177055,bkt,0.69884,0.010916,0.010742,0.010916,-0.019494,-0.000677,nan,nan,nan,nan,,,,
assist2015,0,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",105831,138458,0.707423,0.005414,0.17535,0.699013,0.026594,0.178059,bkt,valid,0.69884,0.007777,0.177055,bkt,0.69884,0.008583,0.00841,0.008583,-0.02118,-0.002363,nan,nan,nan,nan,,,,
assist2015,1,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",106663,138458,0.706939,0.006968,0.175452,0.699152,0.027099,0.178072,bkt,valid,0.698996,0.00726,0.177033,bkt,0.698996,0.007943,0.007788,0.007943,-0.02013,-0.000292,0.756694,-0.350434,0.378372,0.732435,,,,
assist2015,1,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",106663,138458,0.706941,0.006989,0.175452,0.699152,0.027099,0.178072,bkt,valid,0.698996,0.00726,0.177033,bkt,0.698996,0.007945,0.00779,0.007945,-0.02011,-0.000272,0.756816,-0.351307,0.378954,0.73297,,,,
assist2015,1,classical,bma,"bkt,pfa,pfa_recency,elorasch",106663,138458,0.698996,0.00726,0.177033,0.699152,0.027099,0.178072,bkt,valid,0.698996,0.00726,0.177033,bkt,0.698996,0.0,-0.000155,0.0,-0.019838,0.0,1.0,0.0,0.0,0.0,,,,
assist2015,1,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",106663,138458,0.710487,0.005992,0.174785,0.699152,0.027099,0.178072,bkt,valid,0.698996,0.00726,0.177033,bkt,0.698996,0.011491,0.011335,0.011491,-0.021107,-0.001268,nan,nan,nan,nan,,,,
assist2015,1,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",106663,138458,0.708689,0.008108,0.175136,0.699152,0.027099,0.178072,bkt,valid,0.698996,0.00726,0.177033,bkt,0.698996,0.009692,0.009537,0.009692,-0.018991,0.000848,nan,nan,nan,nan,,,,
assist2015,2,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",107443,138458,0.707186,0.00737,0.175453,0.699187,0.026672,0.17803,bkt,valid,0.699136,0.006997,0.177004,bkt,0.699136,0.008051,0.007999,0.008051,-0.019302,0.000373,0.773809,-0.394436,0.315356,0.880829,,,,
assist2015,2,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",107443,138458,0.707187,0.007377,0.175454,0.699187,0.026672,0.17803,bkt,valid,0.699136,0.006997,0.177004,bkt,0.699136,0.008051,0.008,0.008051,-0.019295,0.00038,0.774007,-0.395448,0.315897,0.881583,,,,
assist2015,2,classical,bma,"bkt,pfa,pfa_recency,elorasch",107443,138458,0.699136,0.006997,0.177004,0.699187,0.026672,0.17803,bkt,valid,0.699136,0.006997,0.177004,bkt,0.699136,0.0,-5.2e-05,0.0,-0.019674,0.0,1.0,0.0,0.0,0.0,,,,
assist2015,2,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",107443,138458,0.710519,0.005601,0.174645,0.699187,0.026672,0.17803,bkt,valid,0.699136,0.006997,0.177004,bkt,0.699136,0.011384,0.011332,0.011384,-0.021071,-0.001396,nan,nan,nan,nan,,,,
assist2015,2,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",107443,138458,0.705833,0.006454,0.175661,0.699187,0.026672,0.17803,bkt,valid,0.699136,0.006997,0.177004,bkt,0.699136,0.006697,0.006646,0.006697,-0.020218,-0.000544,nan,nan,nan,nan,,,,
assist2015,3,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",112027,138458,0.706967,0.004517,0.175448,0.699111,0.026045,0.177987,bkt,valid,0.698987,0.008391,0.177025,bkt,0.698987,0.00798,0.007856,0.00798,-0.021528,-0.003874,0.768034,-0.435618,0.351686,0.813902,,,,
assist2015,3,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",112027,138458,0.706967,0.004517,0.175448,0.699111,0.026045,0.177987,bkt,valid,0.698987,0.008391,0.177025,bkt,0.698987,0.00798,0.007856,0.00798,-0.021528,-0.003874,0.768034,-0.435618,0.351686,0.813902,,,,
assist2015,3,classical,bma,"bkt,pfa,pfa_recency,elorasch",112027,138458,0.698987,0.008391,0.177025,0.699111,0.026045,0.177987,bkt,valid,0.698987,0.008391,0.177025,bkt,0.698987,0.0,-0.000124,0.0,-0.017654,0.0,1.0,0.0,0.0,0.0,,,,
assist2015,3,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",112027,138458,0.709964,0.004641,0.174792,0.699111,0.026045,0.177987,bkt,valid,0.698987,0.008391,0.177025,bkt,0.698987,0.010978,0.010853,0.010978,-0.021404,-0.003751,nan,nan,nan,nan,,,,
assist2015,3,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",112027,138458,0.709029,0.004663,0.174985,0.699111,0.026045,0.177987,bkt,valid,0.698987,0.008391,0.177025,bkt,0.698987,0.010042,0.009918,0.010042,-0.021381,-0.003728,nan,nan,nan,nan,,,,
assist2015,4,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",112375,138458,0.706652,0.006304,0.175527,0.699579,0.02628,0.177901,bkt,valid,0.699203,0.007015,0.177002,bkt,0.699203,0.00745,0.007073,0.00745,-0.019976,-0.000711,0.661871,-0.220503,0.301892,0.832987,,,,
assist2015,4,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",112375,138458,0.706653,0.006251,0.175527,0.699579,0.02628,0.177901,bkt,valid,0.699203,0.007015,0.177002,bkt,0.699203,0.007451,0.007074,0.007451,-0.020029,-0.000764,0.661895,-0.220912,0.302166,0.83349,,,,
assist2015,4,classical,bma,"bkt,pfa,pfa_recency,elorasch",112375,138458,0.699203,0.007015,0.177002,0.699579,0.02628,0.177901,bkt,valid,0.699203,0.007015,0.177002,bkt,0.699203,0.0,-0.000377,0.0,-0.019265,0.0,1.0,0.0,0.0,0.0,,,,
assist2015,4,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",112375,138458,0.710193,0.005249,0.17477,0.699579,0.02628,0.177901,bkt,valid,0.699203,0.007015,0.177002,bkt,0.699203,0.01099,0.010614,0.01099,-0.02103,-0.001765,nan,nan,nan,nan,,,,
assist2015,4,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",112375,138458,0.707827,0.009008,0.175306,0.699579,0.02628,0.177901,bkt,valid,0.699203,0.007015,0.177002,bkt,0.699203,0.008624,0.008247,0.008624,-0.017271,0.001993,nan,nan,nan,nan,,,,
assist2017,0,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",153980,178823,0.654452,0.010235,0.215879,0.647644,0.029626,0.218686,elorasch,valid,0.639886,0.028824,0.220465,elorasch,0.639886,0.014566,0.006808,0.014566,-0.019391,-0.018589,0.593096,-0.497121,0.414549,0.779246,,,,
assist2017,0,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",153980,178823,0.654628,0.011103,0.215885,0.647644,0.029626,0.218686,elorasch,valid,0.639886,0.028824,0.220465,elorasch,0.639886,0.014742,0.006984,0.014742,-0.018523,-0.017722,0.573926,-0.377012,0.328369,0.763657,,,,
assist2017,0,classical,bma,"bkt,pfa,pfa_recency,elorasch",153980,178823,0.639886,0.028824,0.220465,0.647644,0.029626,0.218686,elorasch,valid,0.639886,0.028824,0.220465,elorasch,0.639886,-0.0,-0.007758,-0.0,-0.000802,0.0,0.0,0.0,0.0,1.0,,,,
assist2017,0,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",153980,178823,0.66205,0.008557,0.214495,0.647644,0.029626,0.218686,elorasch,valid,0.639886,0.028824,0.220465,elorasch,0.639886,0.022165,0.014407,0.022165,-0.021069,-0.020268,nan,nan,nan,nan,,,,
assist2017,0,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",153980,178823,0.655828,0.013289,0.215629,0.647644,0.029626,0.218686,elorasch,valid,0.639886,0.028824,0.220465,elorasch,0.639886,0.015943,0.008185,0.015943,-0.016337,-0.015535,nan,nan,nan,nan,,,,
assist2017,0,deep,logistic_stacked,"dkt,sakt,akt,simplekt",153067,177767,0.769958,0.004197,0.18388,0.76334,0.038875,0.188194,akt,valid,0.758263,0.015686,0.188321,akt,0.758263,0.011695,0.006619,0.011695,-0.034678,-0.01149,,,,,0.306438,-0.110422,0.411619,0.407059
assist2017,0,deep,ridge_stacked,"dkt,sakt,akt,simplekt",153067,177767,0.769958,0.004196,0.18388,0.76334,0.038875,0.188194,akt,valid,0.758263,0.015686,0.188321,akt,0.758263,0.011695,0.006619,0.011695,-0.034679,-0.01149,,,,,0.306455,-0.110456,0.41163,0.407064
assist2017,0,deep,bma,"dkt,sakt,akt,simplekt",153067,177767,0.758263,0.015686,0.188321,0.76334,0.038875,0.188194,akt,valid,0.758263,0.015686,0.188321,akt,0.758263,0.0,-0.005076,0.0,-0.023189,0.0,,,,,0.0,0.0,1.0,0.0
assist2017,0,deep,xgb_stacked,"dkt,sakt,akt,simplekt",153067,177767,0.769697,0.005065,0.183984,0.76334,0.038875,0.188194,akt,valid,0.758263,0.015686,0.188321,akt,0.758263,0.011434,0.006358,0.011434,-0.03381,-0.010621,,,,,nan,nan,nan,nan
assist2017,0,deep,mlp_stacked,"dkt,sakt,akt,simplekt",153067,177767,0.769883,0.01051,0.184012,0.76334,0.038875,0.188194,akt,valid,0.758263,0.015686,0.188321,akt,0.758263,0.01162,0.006544,0.01162,-0.028365,-0.005176,,,,,nan,nan,nan,nan
assist2017,1,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",142789,178823,0.654456,0.010512,0.215893,0.647425,0.028879,0.218684,elorasch,valid,0.640084,0.027391,0.220339,elorasch,0.640084,0.014372,0.00703,0.014372,-0.018367,-0.016879,0.566446,-0.425911,0.396108,0.804911,,,,
assist2017,1,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",142789,178823,0.654466,0.010665,0.215893,0.647425,0.028879,0.218684,elorasch,valid,0.640084,0.027391,0.220339,elorasch,0.640084,0.014382,0.007041,0.014382,-0.018214,-0.016726,0.564857,-0.413057,0.385812,0.80368,,,,
