dataset,fold,granularity,scheme,seed,auc,static_auc,lift_vs_static
bridge2algebra2006,0,question,moe,1,0.815365,0.81998,-0.004615
bridge2algebra2006,0,question,attention,2,0.820146,0.81998,0.000167
bridge2algebra2006,0,question,moe,2,0.814956,0.81998,-0.005023
bridge2algebra2006,0,question,attention,3,0.82037,0.81998,0.00039
bridge2algebra2006,0,question,moe,3,0.815515,0.81998,-0.004464
bridge2algebra2006,0,question,attention,4,0.820382,0.81998,0.000403
bridge2algebra2006,0,question,moe,4,0.815436,0.81998,-0.004544
bridge2algebra2006,1,question,attention,0,0.822465,0.821856,0.000609
bridge2algebra2006,1,question,moe,0,0.816848,0.821856,-0.005008
bridge2algebra2006,1,question,attention,1,0.822519,0.821856,0.000664
bridge2algebra2006,1,question,moe,1,0.816405,0.821856,-0.005451
bridge2algebra2006,1,question,attention,2,0.822491,0.821856,0.000636
bridge2algebra2006,1,question,moe,2,0.815862,0.821856,-0.005993
bridge2algebra2006,1,question,attention,3,0.822591,0.821856,0.000736
bridge2algebra2006,1,question,moe,3,0.817036,0.821856,-0.00482
bridge2algebra2006,1,question,attention,4,0.822507,0.821856,0.000651
bridge2algebra2006,1,question,moe,4,0.817078,0.821856,-0.004778
bridge2algebra2006,2,question,attention,0,0.822473,0.821136,0.001338
bridge2algebra2006,2,question,moe,0,0.81716,0.821136,-0.003975
bridge2algebra2006,2,question,attention,1,0.822293,0.821136,0.001157
bridge2algebra2006,2,question,moe,1,0.817457,0.821136,-0.003679
bridge2algebra2006,2,question,attention,2,0.822406,0.821136,0.00127
bridge2algebra2006,2,question,moe,2,0.817599,0.821136,-0.003537
bridge2algebra2006,2,question,attention,3,0.822419,0.821136,0.001284
bridge2algebra2006,2,question,moe,3,0.817091,0.821136,-0.004045
bridge2algebra2006,2,question,attention,4,0.822464,0.821136,0.001329
bridge2algebra2006,2,question,moe,4,0.816995,0.821136,-0.004141
bridge2algebra2006,3,question,attention,0,0.819134,0.819319,-0.000185
bridge2algebra2006,3,question,moe,0,0.815412,0.819319,-0.003907
bridge2algebra2006,3,question,attention,1,0.819133,0.819319,-0.000186
bridge2algebra2006,3,question,moe,1,0.813682,0.819319,-0.005637
bridge2algebra2006,3,question,attention,2,0.819219,0.819319,-0.0001
bridge2algebra2006,3,question,moe,2,0.815008,0.819319,-0.00431
bridge2algebra2006,3,question,attention,3,0.81928,0.819319,-3.9e-05
bridge2algebra2006,3,question,moe,3,0.813687,0.819319,-0.005632
bridge2algebra2006,3,question,attention,4,0.819322,0.819319,4e-06
bridge2algebra2006,3,question,moe,4,0.815632,0.819319,-0.003687
bridge2algebra2006,4,question,attention,0,0.818777,0.820222,-0.001445
bridge2algebra2006,4,question,moe,0,0.815106,0.820222,-0.005116
bridge2algebra2006,4,question,attention,1,0.818868,0.820222,-0.001354
bridge2algebra2006,4,question,moe,1,0.815216,0.820222,-0.005006
