dataset,fold,variant,best_single_model,best_single_selected_on,n_test,n_students,ccce_auc,ccce_ece,best_auc,delta_auc_vs_best,auc_p_vs_best,best_ece,delta_ece_vs_best,ece_p_vs_best,stack_auc,delta_auc_vs_stack,auc_p_vs_stack,stack_ece,delta_ece_vs_stack,ece_p_vs_stack,static_auc,delta_auc_vs_static,auc_p_vs_static,static_ece,delta_ece_vs_static,ece_p_vs_static,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,ece_p_vs_static_holm,ece_p_vs_static_reject_holm
assist2017,2,no_s1,akt,valid,177767,-1,0.769275,0.006262,0.757625,0.01165,0.0,0.017903,-0.011641,0.0,0.768838,0.000437,0.046,0.006604,-0.000341,0.826,0.769396,-0.000121,0.0,0.005833,0.000429,0.715,0.0,True,0.0,True,0.322,False,1.0,False,0.0,True,1.0,False
assist2017,2,global_s1,akt,valid,177767,-1,0.769123,0.006862,0.757625,0.011498,0.0,0.017903,-0.011041,0.0,0.768838,0.000285,0.192,0.006604,0.000258,0.715,0.769396,-0.000273,0.0,0.005833,0.001029,0.301,0.0,True,0.0,True,0.7,False,1.0,False,0.0,True,1.0,False
assist2017,2,no_s3,akt,valid,177767,-1,0.767363,0.010407,0.757625,0.009738,0.0,0.017903,-0.007495,0.0,0.768838,-0.001475,0.0,0.006604,0.003804,0.0,0.769396,-0.002033,0.0,0.005833,0.004575,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2017,3,full,akt,valid,177767,-1,0.768204,0.013568,0.758611,0.009593,0.0,0.017114,-0.003546,0.0,0.769464,-0.00126,0.0,0.004129,0.009439,0.0,0.769895,-0.00169,0.0,0.00436,0.009208,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2017,3,no_s1,akt,valid,177767,-1,0.769742,0.005451,0.758611,0.011131,0.0,0.017114,-0.011663,0.0,0.769464,0.000278,0.175,0.004129,0.001322,0.258,0.769895,-0.000152,0.0,0.00436,0.001091,0.034,0.0,True,0.0,True,0.7,False,1.0,False,0.0,True,0.30600000000000005,False
assist2017,3,global_s1,akt,valid,177767,-1,0.769831,0.006278,0.758611,0.01122,0.0,0.017114,-0.010836,0.0,0.769464,0.000367,0.071,0.004129,0.002149,0.076,0.769895,-6.3e-05,0.199,0.00436,0.001918,0.003,0.0,True,0.0,True,0.384,False,0.608,False,0.398,False,0.03,True
assist2017,3,no_s3,akt,valid,177767,-1,0.76839,0.011671,0.758611,0.009779,0.0,0.017114,-0.005443,0.0,0.769464,-0.001074,0.0,0.004129,0.007542,0.0,0.769895,-0.001505,0.0,0.00436,0.007311,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2017,4,full,simplekt,valid,177767,-1,0.769998,0.011681,0.757588,0.01241,0.0,0.030158,-0.018478,0.0,0.772106,-0.002108,0.0,0.007563,0.004118,0.004,0.772146,-0.002148,0.0,0.006403,0.005278,0.0,0.0,True,0.0,True,0.0,True,0.044,True,0.0,True,0.0,True
assist2017,4,no_s1,simplekt,valid,177767,-1,0.772033,0.004449,0.757588,0.014445,0.0,0.030158,-0.025709,0.0,0.772106,-7.3e-05,0.749,0.007563,-0.003113,0.028,0.772146,-0.000113,0.0,0.006403,-0.001954,0.052,0.0,True,0.0,True,1.0,False,0.28,False,0.0,True,0.416,False
assist2017,4,global_s1,simplekt,valid,177767,-1,0.772137,0.004302,0.757588,0.014549,0.0,0.030158,-0.025856,0.0,0.772106,3.1e-05,0.831,0.007563,-0.00326,0.03,0.772146,-9e-06,0.908,0.006403,-0.0021,0.088,0.0,True,0.0,True,1.0,False,0.28,False,0.908,False,0.616,False
