dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
bridge2algebra2006,0,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,277809,353631,0.821111,0.003242,0.103722,0.820759,0.003129,0.10412,0.815386,0.012555,0.105607,0.808154,0.008748,0.107026,0.807119,0.006841,0.10706,-0.001035,-0.013641,-0.013993,-0.001907,0.003712,0.003599,0.820944,0.001938,0.10374,0.01279,0.000184,-0.000168,-0.00681,-0.001191,-0.001304,0.820916,0.002053,0.103731,0.012762,0.000156,-0.000196,-0.006695,-0.001076,-0.001189,0.807285,0.009771,0.107442,-0.000868,-0.013474,-0.013826,0.001022,0.006641,0.006529
bridge2algebra2006,1,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,287732,353631,0.822941,0.004135,0.103247,0.822468,0.003673,0.103466,0.817539,0.013778,0.105074,0.807108,0.006646,0.107421,0.80749,0.00644,0.106866,0.000382,-0.014979,-0.015451,-0.000206,0.002767,0.002306,0.822848,0.002944,0.103249,0.01574,0.000379,-9.3e-05,-0.003703,-0.00073,-0.001191,0.822837,0.003062,0.103236,0.015729,0.000369,-0.000104,-0.003585,-0.000611,-0.001073,0.807864,0.009797,0.107278,0.000756,-0.014604,-0.015076,0.00315,0.006123,0.005662
bridge2algebra2006,2,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,302714,353631,0.822379,0.005171,0.103308,0.822513,0.003611,0.103585,0.817788,0.013696,0.104887,0.807853,0.007181,0.107228,0.810699,0.007032,0.106125,0.002846,-0.011813,-0.01168,-0.000149,0.003421,0.001861,0.822285,0.003566,0.103319,0.014432,-0.000227,-9.4e-05,-0.003615,-4.5e-05,-0.001605,0.82234,0.003375,0.103292,0.014487,-0.000173,-3.9e-05,-0.003807,-0.000236,-0.001797,0.81081,0.01045,0.10642,0.002957,-0.011703,-0.011569,0.003269,0.006839,0.005279
bridge2algebra2006,3,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,308962,353631,0.820311,0.005135,0.103951,0.819399,0.004295,0.1045,0.813889,0.015728,0.10619,0.806142,0.006656,0.107615,0.806459,0.007025,0.10724,0.000316,-0.01294,-0.013853,0.000369,0.00273,0.00189,0.820207,0.004764,0.103947,0.014065,0.000808,-0.000104,-0.001892,0.000469,-0.000371,0.820197,0.004686,0.103938,0.014055,0.000798,-0.000114,-0.00197,0.00039,-0.000449,0.806759,0.011067,0.107563,0.000617,-0.01264,-0.013552,0.004411,0.006772,0.005932
bridge2algebra2006,4,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,283782,353631,0.821331,0.003642,0.103869,0.819331,0.0021,0.104274,0.812903,0.015974,0.105799,0.806228,0.009248,0.107816,0.806764,0.007141,0.107031,0.000536,-0.012568,-0.014567,-0.002107,0.005041,0.003499,0.821241,0.002904,0.103889,0.015013,0.00191,-9e-05,-0.006344,0.000804,-0.000738,0.82125,0.003073,0.103913,0.015022,0.001918,-8.1e-05,-0.006175,0.000973,-0.000569,0.807196,0.011573,0.107551,0.000968,-0.012135,-0.014135,0.002324,0.009472,0.00793
assist2012,0,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,439766,536087,0.778567,0.001786,0.166071,0.777844,0.002034,0.166303,0.771622,0.026284,0.169221,0.772909,0.014972,0.168261,0.774083,0.004208,0.167687,0.001175,-0.00376,-0.004484,-0.010764,0.002174,0.002422,0.778493,0.002041,0.166099,0.005584,0.000649,-7.5e-05,-0.012931,7e-06,0.000254,0.778438,0.002059,0.166126,0.00553,0.000595,-0.000129,-0.012913,2.5e-05,0.000273,0.774137,0.012963,0.16796,0.001229,-0.003706,-0.00443,-0.002009,0.01093,0.011177
assist2012,1,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,432602,536087,0.778928,0.003211,0.166014,0.778036,0.002072,0.166272,0.771671,0.024466,0.169108,0.772772,0.014931,0.168316,0.774872,0.003976,0.167454,0.002099,-0.003164,-0.004057,-0.010955,0.001904,0.000764,0.778856,0.00272,0.166049,0.006084,0.00082,-7.2e-05,-0.012211,0.000648,-0.000492,0.77882,0.002804,0.166049,0.006048,0.000785,-0.000108,-0.012127,0.000732,-0.000408,0.774986,0.01238,0.167686,0.002213,-0.00305,-0.003943,-0.002551,0.010308,0.009168
assist2012,2,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,424912,536087,0.778502,0.002753,0.16613,0.777755,0.001817,0.16635,0.770889,0.02433,0.169446,0.771734,0.014765,0.168718,0.774013,0.004423,0.167706,0.002278,-0.003742,-0.004489,-0.010343,0.002605,0.00167,0.778457,0.002048,0.166155,0.006723,0.000702,-4.5e-05,-0.012718,0.00023,-0.000706,0.778421,0.002167,0.166163,0.006687,0.000666,-8.1e-05,-0.012598,0.00035,-0.000586,0.774093,0.012559,0.167946,0.002358,-0.003662,-0.004409,-0.002207,0.010741,0.009805
assist2012,3,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,419158,536087,0.778609,0.002627,0.166109,0.777817,0.001637,0.166317,0.771283,0.024792,0.169284,0.771509,0.01414,0.168699,0.77388,0.003217,0.167774,0.002371,-0.003938,-0.00473,-0.010923,0.00158,0.000591,0.778521,0.00233,0.166148,0.007012,0.000703,-8.9e-05,-0.01181,0.000693,-0.000296,0.778516,0.002163,0.166144,0.007007,0.000699,-9.3e-05,-0.011977,0.000526,-0.000464,0.773947,0.011514,0.168012,0.002438,-0.003871,-0.004663,-0.002626,0.009877,0.008887
assist2012,4,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,423475,536087,0.778707,0.002455,0.166066,0.778014,0.002029,0.166279,0.771679,0.022788,0.169189,0.772492,0.012622,0.168315,0.774112,0.003857,0.167609,0.00162,-0.003902,-0.004595,-0.008764,0.001828,0.001403,0.778643,0.00243,0.166099,0.006151,0.000629,-6.3e-05,-0.010192,0.000401,-2.5e-05,0.778679,0.002664,0.166057,0.006186,0.000665,-2.8e-05,-0.009957,0.000635,0.00021,0.774179,0.012229,0.167836,0.001686,-0.003835,-0.004528,-0.000392,0.0102,0.009775
ednet,0,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,181289,301372,0.940415,0.004495,0.0871,0.94067,0.006068,0.086943,0.936392,0.011862,0.089761,0.940611,0.02186,0.088204,0.933937,0.005254,0.090355,-0.006673,-0.006733,-0.006478,-0.016607,-0.000814,0.000758,0.940371,0.002097,0.087024,-0.00024,-0.0003,-4.5e-05,-0.019763,-0.003971,-0.002398,0.940547,0.001935,0.086867,-6.4e-05,-0.000123,0.000131,-0.019925,-0.004133,-0.00256,0.933982,0.006468,0.090515,-0.006628,-0.006688,-0.006433,-0.015392,0.0004,0.001973
ednet,1,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,258480,301372,0.941373,0.007975,0.086608,0.941491,0.009105,0.086619,0.936344,0.009624,0.089546,0.941215,0.013728,0.087027,0.936461,0.014112,0.089504,-0.004754,-0.00503,-0.004912,0.000384,0.005007,0.006137,0.94134,0.00813,0.086614,0.000126,-0.000151,-3.2e-05,-0.005598,-0.000975,0.000155,0.941336,0.009401,0.086634,0.000121,-0.000155,-3.7e-05,-0.004328,0.000296,0.001426,0.936486,0.014832,0.089787,-0.004729,-0.005005,-0.004887,0.001104,0.005727,0.006857
ednet,2,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,191811,301372,0.93995,0.003946,0.087408,0.940307,0.006546,0.087195,0.936457,0.012856,0.08978,0.940673,0.020558,0.088107,0.933949,0.010654,0.090421,-0.006724,-0.006359,-0.006001,-0.009904,0.004108,0.006708,0.939908,0.004436,0.087392,-0.000764,-0.000399,-4.1e-05,-0.016122,-0.00211,0.00049,0.940477,0.005913,0.087043,-0.000196,0.00017,0.000527,-0.014645,-0.000633,0.001967,0.933979,0.00974,0.090631,-0.006694,-0.006329,-0.005971,-0.010818,0.003194,0.005794
ednet,3,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,215928,301372,0.940029,0.007881,0.087345,0.940179,0.010599,0.087395,0.936519,0.011404,0.089574,0.940562,0.019548,0.087984,0.934589,0.015347,0.090472,-0.005973,-0.00559,-0.005441,-0.004201,0.004749,0.007466,0.93996,0.00773,0.087358,-0.000601,-0.000218,-6.9e-05,-0.011818,-0.002868,-0.000151,0.940535,0.008251,0.086984,-2.6e-05,0.000356,0.000506,-0.011297,-0.002348,0.00037,0.934628,0.011538,0.090299,-0.005934,-0.005551,-0.005402,-0.008011,0.000939,0.003656
ednet,4,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,215744,301372,0.940855,0.002913,0.086807,0.940694,0.002106,0.086917,0.936266,0.012237,0.089826,0.940598,0.021363,0.088375,0.934657,0.005175,0.090005,-0.00594,-0.006037,-0.006198,-0.016188,0.003069,0.002262,0.940809,0.002257,0.086819,0.000211,0.000115,-4.6e-05,-0.019106,0.00015,-0.000656,0.940827,0.002777,0.086762,0.000229,0.000133,-2.9e-05,-0.018586,0.000671,-0.000136,0.934666,0.006621,0.090176,-0.005932,-0.006028,-0.006189,-0.014742,0.004514,0.003708
