dataset,fold,subset,aggregator,models_in_subset,best_single_model,best_single_selected_on,n_rows,n_students,ensemble_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,ensemble_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
assist2009,4,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.780623,0.766135,0.014488,0.011347,0.017676,0.001,0.04403,0.111292,-0.067262,-0.071485,-0.061816,0.001,0.025,True,0.025,True
assist2009,4,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.775722,0.766135,0.009586,0.005291,0.013781,0.001,,,,,,,0.025,True,0.731634,False
assist2009,4,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.769909,0.766135,0.003774,-0.001406,0.008599,0.143928,0.027397,0.111292,-0.083895,-0.089573,-0.078131,0.001,0.143928,False,0.025,True
assist2015,0,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.699013,0.69884,0.000173,-0.001255,0.001611,0.813593,0.026594,0.007777,0.018817,0.013854,0.022836,0.001,1.0,False,0.025,True
assist2015,0,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.699317,0.69884,0.000477,-0.000995,0.001936,0.525737,0.027282,0.007777,0.019505,0.014446,0.02339,0.001,1.0,False,0.025,True
assist2015,0,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.698222,0.69884,-0.000618,-0.002008,0.000816,0.416792,0.022445,0.007777,0.014668,0.009799,0.018836,0.001,1.0,False,0.025,True
assist2015,0,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.698788,0.69884,-5.1e-05,-0.001661,0.001535,0.955522,,,,,,,1.0,False,0.258874,False
assist2015,0,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.694537,0.69884,-0.004302,-0.00578,-0.002843,0.001,0.013665,0.007777,0.005888,0.001756,0.010134,0.010995,0.025,True,0.098955,False
assist2015,0,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728645,0.726964,0.001681,0.000531,0.002739,0.002999,0.006326,0.010352,-0.004026,-0.006855,0.000376,0.071964,0.053982,False,0.863568,False
assist2015,0,deep,geometric_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.72872,0.726964,0.001757,0.000624,0.002814,0.001,0.006687,0.010352,-0.003666,-0.006497,0.000346,0.071964,0.025,True,0.863568,False
assist2015,0,deep,logit_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728466,0.726964,0.001503,0.000324,0.002596,0.011994,0.004957,0.010352,-0.005396,-0.008023,-0.001085,0.01999,0.142935,False,0.27986,False
assist2015,0,deep,rank_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728124,0.726964,0.00116,-5.4e-05,0.002274,0.056972,,,,,,,0.335832,False,1.0,False
assist2015,0,deep,median,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728133,0.726964,0.001169,-1.7e-05,0.002279,0.054973,0.003628,0.010352,-0.006724,-0.008487,-0.001932,0.007996,0.335832,False,0.143928,False
assist2015,1,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.699152,0.698996,0.000155,-0.001284,0.001626,0.827586,0.027099,0.00726,0.019838,0.014936,0.024027,0.001,1.0,False,0.025,True
assist2015,1,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.699434,0.698996,0.000438,-0.001018,0.001933,0.55972,0.028133,0.00726,0.020873,0.015757,0.024733,0.001,1.0,False,0.025,True
assist2015,1,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.698423,0.698996,-0.000573,-0.001986,0.000872,0.448776,0.023188,0.00726,0.015928,0.010931,0.020033,0.001,1.0,False,0.025,True
assist2015,1,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.698862,0.698996,-0.000134,-0.001749,0.001491,0.873563,,,,,,,1.0,False,0.258874,False
assist2015,1,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.694496,0.698996,-0.0045,-0.005964,-0.003029,0.001,0.014222,0.00726,0.006962,0.002043,0.010726,0.005997,0.025,True,0.059969999999999996,False
assist2015,1,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728483,0.726292,0.002191,0.001096,0.003273,0.001,0.006123,0.008552,-0.00243,-0.005494,0.001485,0.221889,0.025,True,1.0,False
assist2015,1,deep,geometric_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728526,0.726292,0.002233,0.001161,0.003312,0.001,0.005764,0.008552,-0.002788,-0.005929,0.000966,0.135932,0.025,True,1.0,False
assist2015,1,deep,logit_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728316,0.726292,0.002023,0.000892,0.003125,0.001999,0.005855,0.008552,-0.002697,-0.005257,0.000977,0.18091,0.041978999999999995,True,1.0,False
assist2015,1,deep,rank_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728098,0.726292,0.001806,0.000664,0.002915,0.003998,,,,,,,0.067966,False,1.0,False
assist2015,1,deep,median,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.727914,0.726292,0.001622,0.000466,0.002718,0.010995,0.005275,0.008552,-0.003277,-0.005716,0.000701,0.106947,0.142935,False,0.962523,False
assist2015,2,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.699187,0.699136,5.2e-05,-0.001374,0.001512,0.938531,0.026672,0.006997,0.019674,0.014358,0.023402,0.001,1.0,False,0.025,True
assist2015,2,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.699495,0.699136,0.000359,-0.001107,0.00185,0.638681,0.027296,0.006997,0.020298,0.01501,0.023882,0.001,1.0,False,0.025,True
assist2015,2,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.698403,0.699136,-0.000732,-0.002119,0.000703,0.335832,0.022728,0.006997,0.01573,0.010401,0.019438,0.001,1.0,False,0.025,True
assist2015,2,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.69889,0.699136,-0.000246,-0.001894,0.001366,0.790605,,,,,,,1.0,False,0.258874,False
assist2015,2,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.694566,0.699136,-0.00457,-0.00604,-0.003059,0.001,0.013313,0.006997,0.006316,0.001613,0.010216,0.011994,0.025,True,0.098955,False
assist2015,2,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.729014,0.727098,0.001915,0.000866,0.003008,0.001999,0.003635,0.010102,-0.006467,-0.008771,-0.001886,0.004998,0.041978999999999995,True,0.09496199999999999,False
assist2015,2,deep,geometric_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.729083,0.727098,0.001985,0.00095,0.003039,0.001,0.002938,0.010102,-0.007164,-0.008943,-0.003008,0.001999,0.025,True,0.041978999999999995,True
assist2015,2,deep,logit_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728745,0.727098,0.001646,0.00054,0.002764,0.005997,0.006217,0.010102,-0.003884,-0.007158,-0.000237,0.044978,0.095952,False,0.584714,False
assist2015,2,deep,rank_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728598,0.727098,0.0015,0.000377,0.002619,0.010995,,,,,,,0.142935,False,1.0,False
assist2015,2,deep,median,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728485,0.727098,0.001386,0.000235,0.002526,0.027986,0.005355,0.010102,-0.004747,-0.00761,-0.001049,0.007996,0.251874,False,0.143928,False
assist2015,3,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.699111,0.698987,0.000124,-0.001247,0.00157,0.847576,0.026045,0.008391,0.017654,0.012768,0.022393,0.001,1.0,False,0.025,True
assist2015,3,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.699449,0.698987,0.000462,-0.000955,0.001917,0.52074,0.026912,0.008391,0.018521,0.013488,0.023125,0.001,1.0,False,0.025,True
assist2015,3,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.698243,0.698987,-0.000744,-0.002086,0.000695,0.312844,0.022027,0.008391,0.013636,0.008712,0.018271,0.001,1.0,False,0.025,True
assist2015,3,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.698864,0.698987,-0.000122,-0.001713,0.001458,0.896552,,,,,,,1.0,False,0.258874,False
assist2015,3,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.694641,0.698987,-0.004345,-0.005725,-0.002865,0.001,0.013215,0.008391,0.004824,0.000124,0.009085,0.042979,0.025,True,0.258874,False
assist2015,3,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728095,0.726627,0.001468,0.000369,0.002538,0.011994,0.004987,0.010432,-0.005445,-0.008004,-0.001317,0.009995,0.142935,False,0.149925,False
assist2015,3,deep,geometric_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728206,0.726627,0.001579,0.000527,0.002636,0.008996,0.004052,0.010432,-0.00638,-0.008417,-0.002353,0.002999,0.125944,False,0.05998,False
assist2015,3,deep,logit_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.727792,0.726627,0.001165,3.4e-05,0.002277,0.041979,0.00706,0.010432,-0.003372,-0.006651,0.000232,0.072964,0.335832,False,0.863568,False
assist2015,3,deep,rank_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.727699,0.726627,0.001072,-5.7e-05,0.00218,0.063968,,,,,,,0.335832,False,1.0,False
assist2015,3,deep,median,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.72719,0.726627,0.000563,-0.000612,0.001733,0.332834,0.005572,0.010432,-0.004859,-0.007605,-0.000977,0.008996,0.335832,False,0.143936,False
assist2015,4,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.699579,0.699203,0.000377,-0.001012,0.001841,0.590705,0.02628,0.007015,0.019265,0.013305,0.022796,0.001,1.0,False,0.025,True
assist2015,4,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.699866,0.699203,0.000664,-0.000773,0.002149,0.369815,0.026607,0.007015,0.019593,0.013739,0.023283,0.001,1.0,False,0.025,True
assist2015,4,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.698787,0.699203,-0.000416,-0.001774,0.001033,0.590705,0.022207,0.007015,0.015192,0.009266,0.018873,0.001,1.0,False,0.025,True
assist2015,4,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.699427,0.699203,0.000224,-0.001391,0.001831,0.771614,,,,,,,1.0,False,0.258874,False
assist2015,4,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,138458,3818,0.695037,0.699203,-0.004166,-0.005587,-0.002676,0.001,0.012883,0.007015,0.005868,0.000316,0.009445,0.036982,0.025,True,0.258874,False
assist2015,4,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728607,0.727083,0.001524,0.000393,0.002588,0.005997,0.015553,0.006999,0.008554,0.004927,0.010905,0.001,0.095952,False,0.025,True
assist2015,4,deep,geometric_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728684,0.727083,0.001601,0.000492,0.002644,0.001999,0.013651,0.006999,0.006652,0.003066,0.009054,0.001,0.041978999999999995,True,0.025,True
assist2015,4,deep,logit_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.72831,0.727083,0.001227,5e-05,0.002368,0.042979,0.017847,0.006999,0.010848,0.007157,0.012983,0.001,0.335832,False,0.025,True
assist2015,4,deep,rank_mean,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.728104,0.727083,0.001021,-0.000172,0.002172,0.094953,,,,,,,0.335832,False,1.0,False
assist2015,4,deep,median,"dkt,sakt,akt,simplekt",dkt,valid,134592,3818,0.727934,0.727083,0.000851,-0.000379,0.002056,0.154923,0.016873,0.006999,0.009875,0.006083,0.011788,0.001,0.335832,False,0.025,True
assist2017,0,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.647658,0.639886,0.007772,0.00425,0.01167,0.001999,0.029685,0.028824,0.00086,-0.001724,0.003739,0.476762,0.049975,True,1.0,False
assist2017,0,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.647009,0.639886,0.007123,0.003581,0.011009,0.001999,0.028773,0.028824,-5.1e-05,-0.002917,0.002731,0.888556,0.049975,True,1.0,False
assist2017,0,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.647462,0.639886,0.007576,0.004053,0.011486,0.001999,0.028527,0.028824,-0.000297,-0.002978,0.002524,0.81959,0.049975,True,1.0,False
assist2017,0,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.645924,0.639886,0.006038,0.002512,0.009916,0.002999,,,,,,,0.049975,True,1.0,False
assist2017,0,classical,median,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.641008,0.639886,0.001122,-0.002798,0.005436,0.593703,0.022898,0.028824,-0.005927,-0.008471,-0.002548,0.001,1.0,False,0.025,True
assist2017,0,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.76334,0.758263,0.005076,0.00391,0.006177,0.001,0.038875,0.015686,0.023189,0.017946,0.027462,0.001,0.025,True,0.025,True
assist2017,0,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.763777,0.758263,0.005513,0.004342,0.006667,0.001,0.035403,0.015686,0.019717,0.014683,0.024069,0.001,0.025,True,0.025,True
assist2017,0,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.764648,0.758263,0.006385,0.005277,0.007511,0.001,0.029783,0.015686,0.014097,0.00923,0.01853,0.001,0.025,True,0.025,True
assist2017,0,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.756451,0.758263,-0.001812,-0.003188,-0.000499,0.012994,,,,,,,0.051976,False,0.888559,False
assist2017,0,deep,median,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.761707,0.758263,0.003444,0.002301,0.004512,0.001,0.029196,0.015686,0.01351,0.008455,0.017868,0.001,0.025,True,0.025,True
assist2017,1,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.647425,0.640084,0.007342,0.003782,0.01113,0.001999,0.028879,0.027391,0.001488,-0.001412,0.004292,0.322839,0.049975,True,1.0,False
assist2017,1,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.646784,0.640084,0.0067,0.003162,0.010524,0.001999,0.027291,0.027391,-0.0001,-0.002737,0.00322,0.924538,0.049975,True,1.0,False
assist2017,1,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.647226,0.640084,0.007142,0.003575,0.010924,0.001999,0.027435,0.027391,4.4e-05,-0.002624,0.003088,0.913543,0.049975,True,1.0,False
assist2017,1,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.645632,0.640084,0.005548,0.002026,0.009348,0.004998,,,,,,,0.049975,True,1.0,False
assist2017,1,classical,median,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.640731,0.640084,0.000647,-0.003268,0.004904,0.732634,0.022161,0.027391,-0.00523,-0.007853,-0.001893,0.001,1.0,False,0.025,True
