dataset,fold,subset,aggregator,models_in_subset,best_single_model,best_single_selected_on,n_rows,n_students,ensemble_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,ensemble_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
bridge2algebra2006,3,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.754925,0.748474,0.00645,0.004644,0.008115,0.001,,,,,,,0.025,True,0.025,True
bridge2algebra2006,3,classical,median,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.753919,0.748474,0.005445,0.004442,0.006486,0.001,0.01731,0.011135,0.006174,0.004837,0.007653,0.001,0.025,True,0.025,True
bridge2algebra2006,3,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.813184,0.805745,0.007439,0.005752,0.008988,0.001,0.015552,0.006766,0.008786,0.004303,0.012468,0.001,0.025,True,0.025,True
bridge2algebra2006,3,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.813367,0.805745,0.007622,0.005938,0.009157,0.001,0.013014,0.006766,0.006248,0.002182,0.009942,0.002999,0.025,True,0.053982,False
bridge2algebra2006,3,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.814129,0.805745,0.008384,0.006942,0.009753,0.001,0.015287,0.006766,0.00852,0.0032,0.013098,0.002999,0.025,True,0.053982,False
bridge2algebra2006,3,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.811531,0.805745,0.005785,0.00415,0.007289,0.001,,,,,,,0.025,True,1.0,False
bridge2algebra2006,3,deep,median,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.810186,0.805745,0.004441,0.002741,0.00604,0.001,0.013389,0.006766,0.006622,0.002024,0.010854,0.010995,0.025,True,0.15392999999999998,False
bridge2algebra2006,4,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.757942,0.74841,0.009532,0.007871,0.011091,0.001,0.03226,0.011269,0.020991,0.019376,0.022619,0.001,0.025,True,0.025,True
bridge2algebra2006,4,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.75802,0.74841,0.00961,0.007841,0.01126,0.001,0.032772,0.011269,0.021503,0.019521,0.022996,0.001,0.025,True,0.025,True
bridge2algebra2006,4,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.757579,0.74841,0.009169,0.007776,0.010526,0.001,0.025143,0.011269,0.013874,0.012149,0.015403,0.001,0.025,True,0.025,True
bridge2algebra2006,4,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.754847,0.74841,0.006437,0.00468,0.008098,0.001,,,,,,,0.025,True,0.025,True
bridge2algebra2006,4,classical,median,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.753701,0.74841,0.005291,0.004308,0.006307,0.001,0.018409,0.011269,0.00714,0.0056,0.008475,0.001,0.025,True,0.025,True
bridge2algebra2006,4,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.812273,0.805861,0.006412,0.004558,0.008018,0.001,0.015749,0.009314,0.006435,0.00323,0.009675,0.001,0.025,True,0.025,True
bridge2algebra2006,4,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.812523,0.805861,0.006662,0.004847,0.008262,0.001,0.0161,0.009314,0.006786,0.003453,0.009764,0.001,0.025,True,0.025,True
bridge2algebra2006,4,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.81293,0.805861,0.007069,0.005404,0.008539,0.001,0.009816,0.009314,0.000502,-0.002869,0.003905,0.84058,0.025,True,1.0,False
bridge2algebra2006,4,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.810696,0.805861,0.004835,0.002966,0.006481,0.001,,,,,,,0.025,True,1.0,False
bridge2algebra2006,4,deep,median,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.810858,0.805861,0.004997,0.003296,0.006451,0.001,0.011196,0.009314,0.001882,-0.001388,0.005019,0.262869,0.025,True,1.0,False
assist2012,0,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.689243,0.680836,0.008406,0.007354,0.009389,0.001,0.030779,0.008537,0.022243,0.018245,0.025055,0.001,0.025,True,0.025,True
assist2012,0,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.689734,0.680836,0.008898,0.007819,0.009914,0.001,0.030943,0.008537,0.022407,0.018186,0.025234,0.001,0.025,True,0.025,True
assist2012,0,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.688544,0.680836,0.007708,0.006666,0.008668,0.001,0.028279,0.008537,0.019743,0.015697,0.022519,0.001,0.025,True,0.025,True
assist2012,0,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.688529,0.680836,0.007692,0.006541,0.008763,0.001,,,,,,,0.025,True,0.025,True
assist2012,0,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.683004,0.680836,0.002168,0.001071,0.003169,0.001,0.021925,0.008537,0.013389,0.009341,0.016121,0.001,0.025,True,0.025,True
assist2012,0,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.771622,0.772909,-0.001286,-0.001898,-0.000639,0.001,0.026273,0.014961,0.011312,0.008766,0.013778,0.001,0.025,True,0.025,True
assist2012,0,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.771586,0.772909,-0.001323,-0.001962,-0.000675,0.001,0.023833,0.014961,0.008872,0.00637,0.011367,0.001,0.025,True,0.025,True
assist2012,0,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.772632,0.772909,-0.000277,-0.000867,0.000333,0.396802,0.02091,0.014961,0.005949,0.003804,0.008314,0.001,1.0,False,0.025,True
assist2012,0,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.767934,0.772909,-0.004974,-0.005682,-0.004231,0.001,,,,,,,0.025,True,0.025,True
assist2012,0,deep,median,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.770659,0.772909,-0.002249,-0.002875,-0.001598,0.001,0.021211,0.014961,0.006251,0.003795,0.008664,0.001,0.025,True,0.025,True
assist2012,1,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.689175,0.680724,0.008451,0.007391,0.009427,0.001,0.031097,0.008243,0.022854,0.018646,0.025532,0.001,0.025,True,0.025,True
assist2012,1,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.68966,0.680724,0.008935,0.007861,0.009932,0.001,0.03126,0.008243,0.023017,0.018581,0.025657,0.001,0.025,True,0.025,True
assist2012,1,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.688488,0.680724,0.007764,0.006701,0.008741,0.001,0.028369,0.008243,0.020126,0.016039,0.022879,0.001,0.025,True,0.025,True
assist2012,1,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.688369,0.680724,0.007645,0.0065,0.008719,0.001,,,,,,,0.025,True,0.025,True
assist2012,1,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.682932,0.680724,0.002208,0.001112,0.003223,0.001,0.022402,0.008243,0.014159,0.009978,0.016697,0.001,0.025,True,0.025,True
assist2012,1,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.771671,0.772772,-0.001101,-0.00173,-0.000479,0.001,0.024466,0.014935,0.009532,0.007121,0.011926,0.001,0.025,True,0.025,True
assist2012,1,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.771684,0.772772,-0.001088,-0.00173,-0.000452,0.001,0.021847,0.014935,0.006912,0.004514,0.0094,0.001,0.025,True,0.025,True
assist2012,1,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.772616,0.772772,-0.000157,-0.000742,0.000456,0.610695,0.01909,0.014935,0.004155,0.002036,0.006522,0.002999,1.0,False,0.025,True
assist2012,1,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.767964,0.772772,-0.004809,-0.005534,-0.004095,0.001,,,,,,,0.025,True,0.025,True
assist2012,1,deep,median,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.770831,0.772772,-0.001941,-0.002548,-0.001335,0.001,0.019568,0.014935,0.004633,0.002231,0.006929,0.001,0.025,True,0.025,True
assist2012,2,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.689121,0.680908,0.008214,0.007161,0.009168,0.001,0.030731,0.00762,0.023111,0.018945,0.025252,0.001,0.025,True,0.025,True
assist2012,2,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.68961,0.680908,0.008702,0.00763,0.009676,0.001,0.030874,0.00762,0.023254,0.018893,0.02541,0.001,0.025,True,0.025,True
assist2012,2,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.688439,0.680908,0.007531,0.006486,0.008461,0.001,0.028143,0.00762,0.020523,0.016493,0.022782,0.001,0.025,True,0.025,True
assist2012,2,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.688238,0.680908,0.00733,0.006176,0.008375,0.001,,,,,,,0.025,True,0.025,True
assist2012,2,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.682961,0.680908,0.002053,0.000955,0.003031,0.001,0.021856,0.00762,0.014235,0.010267,0.016337,0.001,0.025,True,0.025,True
assist2012,2,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.770889,0.771735,-0.000846,-0.001449,-0.00021,0.011994,0.024337,0.014769,0.009568,0.007293,0.01198,0.001,0.107946,False,0.025,True
assist2012,2,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.770803,0.771735,-0.000931,-0.001551,-0.000282,0.007996,0.021941,0.014769,0.007172,0.004741,0.009593,0.001,0.08795599999999999,False,0.025,True
assist2012,2,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.771976,0.771735,0.000241,-0.000333,0.00084,0.427786,0.020917,0.014769,0.006148,0.004122,0.008228,0.001,1.0,False,0.025,True
assist2012,2,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.767278,0.771735,-0.004456,-0.005165,-0.003728,0.001,,,,,,,0.025,True,0.025,True
assist2012,2,deep,median,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.770264,0.771735,-0.001471,-0.002071,-0.000851,0.001,0.020396,0.014769,0.005627,0.003695,0.007816,0.001,0.025,True,0.025,True
assist2012,3,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.689154,0.680942,0.008213,0.007158,0.009177,0.001,0.030833,0.008015,0.022818,0.018717,0.025547,0.001,0.025,True,0.025,True
assist2012,3,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.689657,0.680942,0.008715,0.007644,0.009696,0.001,0.030977,0.008015,0.022962,0.018701,0.025629,0.001,0.025,True,0.025,True
assist2012,3,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.688445,0.680942,0.007504,0.006455,0.008446,0.001,0.028266,0.008015,0.020251,0.016105,0.022944,0.001,0.025,True,0.025,True
assist2012,3,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.688439,0.680942,0.007497,0.006341,0.008549,0.001,,,,,,,0.025,True,0.025,True
assist2012,3,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.68292,0.680942,0.001978,0.000873,0.002994,0.001,0.021618,0.008015,0.013603,0.009703,0.016335,0.001,0.025,True,0.025,True
assist2012,3,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.771283,0.771509,-0.000226,-0.00083,0.00039,0.490755,0.024788,0.014137,0.010652,0.008318,0.013049,0.001,1.0,False,0.025,True
assist2012,3,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.771271,0.771509,-0.000238,-0.000857,0.000386,0.482759,0.022374,0.014137,0.008237,0.005667,0.010638,0.001,1.0,False,0.025,True
assist2012,3,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.772292,0.771509,0.000783,0.000213,0.001379,0.008996,0.019693,0.014137,0.005556,0.003518,0.007925,0.001,0.08996000000000001,False,0.025,True
assist2012,3,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.767625,0.771509,-0.003883,-0.004586,-0.00316,0.001,,,,,,,0.025,True,0.025,True
assist2012,3,deep,median,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.770288,0.771509,-0.00122,-0.00181,-0.000613,0.001,0.019615,0.014137,0.005478,0.003311,0.007881,0.001,0.025,True,0.025,True
assist2012,4,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.689175,0.680866,0.008309,0.007255,0.009335,0.001,0.0307,0.008151,0.022549,0.018285,0.025293,0.001,0.025,True,0.025,True
assist2012,4,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.689668,0.680866,0.008803,0.007723,0.009838,0.001,0.030705,0.008151,0.022555,0.01828,0.025384,0.001,0.025,True,0.025,True
assist2012,4,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.688469,0.680866,0.007604,0.006555,0.008621,0.001,0.028183,0.008151,0.020032,0.015783,0.022813,0.001,0.025,True,0.025,True
assist2012,4,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.688392,0.680866,0.007526,0.006335,0.008634,0.001,,,,,,,0.025,True,0.025,True
assist2012,4,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,542817,5497,0.682968,0.680866,0.002102,0.000967,0.003133,0.001,0.021937,0.008151,0.013786,0.00951,0.016354,0.001,0.025,True,0.025,True
assist2012,4,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.771679,0.772492,-0.000814,-0.001447,-0.000188,0.015992,0.022791,0.01261,0.010181,0.00786,0.012441,0.001,0.127936,False,0.025,True
assist2012,4,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.771811,0.772492,-0.000682,-0.001318,-6.4e-05,0.042979,0.018269,0.01261,0.005658,0.003503,0.008106,0.001,0.30085300000000004,False,0.025,True
assist2012,4,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.77241,0.772492,-8.3e-05,-0.0007,0.000532,0.792604,0.02079,0.01261,0.008179,0.00628,0.010283,0.001,1.0,False,0.025,True
assist2012,4,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.768074,0.772492,-0.004419,-0.005155,-0.003688,0.001,,,,,,,0.025,True,0.025,True
assist2012,4,deep,median,"dkt,sakt,akt,simplekt",akt,valid,536087,5497,0.771046,0.772492,-0.001447,-0.002053,-0.000833,0.001,0.019175,0.01261,0.006565,0.004588,0.008765,0.001,0.025,True,0.025,True
ednet,0,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.639786,0.641491,-0.001705,-0.005027,0.00245,0.457771,0.019254,0.047139,-0.027884,-0.034832,-0.017198,0.001999,1.0,False,0.037981,True
ednet,0,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.640502,0.641491,-0.000989,-0.004238,0.00305,0.674663,0.016163,0.047139,-0.030975,-0.036572,-0.020367,0.001,1.0,False,0.025,True
ednet,0,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.638664,0.641491,-0.002827,-0.006207,0.00147,0.206897,0.028806,0.047139,-0.018333,-0.025449,-0.008966,0.002999,1.0,False,0.037981,True
ednet,0,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.642718,0.641491,0.001227,-0.001893,0.005047,0.415792,,,,,,,1.0,False,1.0,False
ednet,0,classical,median,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.637815,0.641491,-0.003676,-0.007553,0.001209,0.143928,0.019979,0.047139,-0.027159,-0.034674,-0.016357,0.001999,1.0,False,0.037981,True
ednet,0,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.63232,0.658462,-0.026142,-0.02938,-0.02317,0.001,0.086524,0.148408,-0.061885,-0.064843,-0.056754,0.001,0.025,True,0.025,True
ednet,0,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.63243,0.658462,-0.026032,-0.029295,-0.023067,0.001,0.087686,0.148408,-0.060722,-0.062667,-0.056058,0.001,0.025,True,0.025,True
ednet,0,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.637532,0.658462,-0.02093,-0.023435,-0.018619,0.001,0.097994,0.148408,-0.050414,-0.05531,-0.045076,0.001,0.025,True,0.025,True
ednet,0,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.629516,0.658462,-0.028946,-0.032226,-0.026073,0.001,,,,,,,0.025,True,0.025,True
ednet,0,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.623239,0.658462,-0.035223,-0.039094,-0.032008,0.001,0.091488,0.148408,-0.05692,-0.059474,-0.051547,0.001,0.025,True,0.025,True
ednet,1,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.639509,0.640902,-0.001393,-0.004893,0.002903,0.552724,0.021334,0.04591,-0.024576,-0.033385,-0.013463,0.001999,1.0,False,0.037981,True
ednet,1,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.640261,0.640902,-0.000641,-0.004059,0.003499,0.833583,0.017637,0.04591,-0.028273,-0.035958,-0.017294,0.001,1.0,False,0.025,True
ednet,1,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.638048,0.640902,-0.002854,-0.006427,0.00166,0.232884,0.032859,0.04591,-0.013051,-0.021234,-0.003449,0.011994,1.0,False,0.107946,False
ednet,1,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.642477,0.640902,0.001575,-0.001586,0.005443,0.32084,,,,,,,1.0,False,1.0,False
ednet,1,classical,median,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.638077,0.640902,-0.002825,-0.006888,0.002075,0.301849,0.019496,0.04591,-0.026414,-0.033806,-0.01392,0.001999,1.0,False,0.037981,True
ednet,1,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.63288,0.659407,-0.026527,-0.029572,-0.023724,0.001,0.085113,0.132468,-0.047355,-0.04982,-0.043106,0.001,0.025,True,0.025,True
ednet,1,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.632904,0.659407,-0.026502,-0.029467,-0.023788,0.001,0.089253,0.132468,-0.043215,-0.046782,-0.038295,0.001,0.025,True,0.025,True
ednet,1,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.63664,0.659407,-0.022767,-0.025326,-0.020376,0.001,0.093414,0.132468,-0.039054,-0.042936,-0.033972,0.001,0.025,True,0.025,True
ednet,1,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.631093,0.659407,-0.028313,-0.031475,-0.025433,0.001,,,,,,,0.025,True,0.025,True
ednet,1,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.625361,0.659407,-0.034045,-0.037679,-0.030887,0.001,0.090286,0.132468,-0.042182,-0.043711,-0.037087,0.001,0.025,True,0.025,True
ednet,2,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.640529,0.641586,-0.001057,-0.004438,0.003347,0.677661,0.017416,0.04684,-0.029424,-0.036116,-0.018989,0.001,1.0,False,0.025,True
ednet,2,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.641206,0.641586,-0.00038,-0.003675,0.003957,0.933533,0.015006,0.04684,-0.031834,-0.037596,-0.021981,0.001,1.0,False,0.025,True
ednet,2,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.639409,0.641586,-0.002177,-0.005576,0.00231,0.378811,0.02639,0.04684,-0.02045,-0.027404,-0.011028,0.001999,1.0,False,0.037981,True
ednet,2,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.64306,0.641586,0.001473,-0.001652,0.005377,0.358821,,,,,,,1.0,False,1.0,False
ednet,2,classical,median,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.639009,0.641586,-0.002577,-0.00647,0.002426,0.337831,0.017229,0.04684,-0.029611,-0.036697,-0.018407,0.001,1.0,False,0.025,True
ednet,2,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.632649,0.657867,-0.025218,-0.0284,-0.022249,0.001,0.087569,0.146561,-0.058992,-0.062353,-0.054504,0.001,0.025,True,0.025,True
ednet,2,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.632559,0.657867,-0.025308,-0.028495,-0.022391,0.001,0.089438,0.146561,-0.057123,-0.060279,-0.053282,0.001,0.025,True,0.025,True
ednet,2,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.638461,0.657867,-0.019405,-0.021854,-0.017138,0.001,0.098878,0.146561,-0.047683,-0.05462,-0.042933,0.001,0.025,True,0.025,True
ednet,2,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.630077,0.657867,-0.027789,-0.031032,-0.024854,0.001,,,,,,,0.025,True,0.025,True
ednet,2,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.622842,0.657867,-0.035025,-0.038742,-0.031833,0.001,0.091661,0.146561,-0.054901,-0.058236,-0.050347,0.001,0.025,True,0.025,True
ednet,3,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,133974,937,0.640366,0.628835,0.011531,0.004894,0.018745,0.001,0.020375,0.018296,0.002079,-0.00561,0.008639,0.76062,0.025,True,1.0,False
ednet,3,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,133974,937,0.641025,0.628835,0.01219,0.005554,0.019416,0.001,0.016488,0.018296,-0.001808,-0.008549,0.00575,0.63968,0.025,True,1.0,False
ednet,3,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,133974,937,0.639323,0.628835,0.010489,0.00375,0.017741,0.001,0.030914,0.018296,0.012618,0.004697,0.018245,0.002999,0.025,True,0.037981,True
ednet,3,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,133974,937,0.64317,0.628835,0.014336,0.007767,0.021685,0.001,,,,,,,0.025,True,1.0,False
ednet,3,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,133974,937,0.638023,0.628835,0.009188,0.003326,0.015329,0.001,0.02151,0.018296,0.003214,-0.004035,0.00971,0.45977,0.025,True,1.0,False
ednet,3,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.632972,0.65679,-0.023818,-0.026868,-0.021049,0.001,0.085275,0.145087,-0.059812,-0.061995,-0.054644,0.001,0.025,True,0.025,True
ednet,3,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.633077,0.65679,-0.023713,-0.026749,-0.020933,0.001,0.088511,0.145087,-0.056576,-0.059094,-0.05239,0.001,0.025,True,0.025,True
ednet,3,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.638054,0.65679,-0.018736,-0.021086,-0.016559,0.001,0.095657,0.145087,-0.04943,-0.054008,-0.043853,0.001,0.025,True,0.025,True
ednet,3,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.630464,0.65679,-0.026326,-0.029492,-0.023548,0.001,,,,,,,0.025,True,0.025,True
ednet,3,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.623249,0.65679,-0.033541,-0.037116,-0.030373,0.001,0.090494,0.145087,-0.054593,-0.056477,-0.04897,0.001,0.025,True,0.025,True
ednet,4,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.639831,0.641109,-0.001278,-0.004735,0.002941,0.603698,0.017592,0.045742,-0.02815,-0.034307,-0.016428,0.001999,1.0,False,0.037981,True
ednet,4,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.640476,0.641109,-0.000633,-0.004015,0.003464,0.842579,0.015002,0.045742,-0.03074,-0.036401,-0.019902,0.001,1.0,False,0.025,True
ednet,4,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.638698,0.641109,-0.002411,-0.005886,0.002046,0.322839,0.02821,0.045742,-0.017532,-0.024163,-0.007475,0.004998,1.0,False,0.04998,True
ednet,4,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.642692,0.641109,0.001583,-0.001528,0.00543,0.329835,,,,,,,1.0,False,1.0,False
ednet,4,classical,median,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,133974,937,0.638099,0.641109,-0.00301,-0.007072,0.001835,0.264868,0.018595,0.045742,-0.027147,-0.034639,-0.015852,0.001999,1.0,False,0.037981,True
ednet,4,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.630837,0.653691,-0.022854,-0.025754,-0.020224,0.001,0.08795,0.142891,-0.054941,-0.056733,-0.050576,0.001,0.025,True,0.025,True
ednet,4,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.631455,0.653691,-0.022236,-0.025115,-0.019643,0.001,0.093952,0.142891,-0.048939,-0.052088,-0.044615,0.001,0.025,True,0.025,True
ednet,4,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.632989,0.653691,-0.020702,-0.023338,-0.018288,0.001,0.0911,0.142891,-0.051791,-0.053471,-0.046926,0.001,0.025,True,0.025,True
ednet,4,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.628005,0.653691,-0.025686,-0.028782,-0.022944,0.001,,,,,,,0.025,True,0.025,True
ednet,4,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,132209,937,0.62211,0.653691,-0.03158,-0.035236,-0.028478,0.001,0.092324,0.142891,-0.050567,-0.052693,-0.046625,0.001,0.025,True,0.025,True
