dataset,fold,subset,models_in_subset,aggregator,n_rows,auc,ece,brier,best_single_model,best_single_selected_on,best_single_auc,delta_auc,best_single_ece,delta_ece,best_single_brier,delta_brier,best_single_on_test_model,best_single_on_test_auc,best_single_on_test_ece,delta_auc_vs_test_best
assist2009,3,deep,"dkt,sakt,akt,simplekt",logit_mean,52254,0.778727,0.021725,0.178637,simplekt,valid,0.767424,0.011303,0.057253,-0.035528,0.186466,-0.007829,simplekt,0.767424,0.057253,0.011303
assist2009,3,deep,"dkt,sakt,akt,simplekt",rank_mean,52254,0.775525,nan,nan,simplekt,valid,0.767424,0.008101,0.057253,nan,0.186466,nan,simplekt,0.767424,0.057253,0.008101
assist2009,3,deep,"dkt,sakt,akt,simplekt",median,52254,0.772422,0.018342,0.180194,simplekt,valid,0.767424,0.004998,0.057253,-0.038911,0.186466,-0.006272,simplekt,0.767424,0.057253,0.004998
assist2009,4,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,53148,0.73249,0.037019,0.195604,bkt,valid,0.725994,0.006496,0.020951,0.016069,0.195899,-0.000295,bkt,0.725994,0.020951,0.006496
assist2009,4,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,53148,0.732532,0.034683,0.195617,bkt,valid,0.725994,0.006538,0.020951,0.013733,0.195899,-0.000281,bkt,0.725994,0.020951,0.006538
assist2009,4,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,53148,0.731646,0.032197,0.19567,bkt,valid,0.725994,0.005652,0.020951,0.011247,0.195899,-0.000228,bkt,0.725994,0.020951,0.005652
assist2009,4,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,53148,0.734187,nan,nan,bkt,valid,0.725994,0.008193,0.020951,nan,0.195899,nan,bkt,0.725994,0.020951,0.008193
assist2009,4,classical,"bkt,pfa,pfa_recency,elorasch",median,53148,0.728444,0.027115,0.196365,bkt,valid,0.725994,0.00245,0.020951,0.006164,0.195899,0.000466,bkt,0.725994,0.020951,0.00245
assist2009,4,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,52254,0.776597,0.029325,0.179302,simplekt,valid,0.766135,0.010462,0.111292,-0.081967,0.197373,-0.018071,simplekt,0.766135,0.111292,0.010462
assist2009,4,deep,"dkt,sakt,akt,simplekt",geometric_mean,52254,0.775475,0.020998,0.179295,simplekt,valid,0.766135,0.00934,0.111292,-0.090294,0.197373,-0.018078,simplekt,0.766135,0.111292,0.00934
assist2009,4,deep,"dkt,sakt,akt,simplekt",logit_mean,52254,0.780623,0.04403,0.179916,simplekt,valid,0.766135,0.014488,0.111292,-0.067262,0.197373,-0.017457,simplekt,0.766135,0.111292,0.014488
