dataset,subset,model,fold,n_rows,auc,ece,brier
assist2015,classical,elorasch,3,138458,0.6747598333972697,0.06546359861383086,0.1879815865189636
assist2015,classical,elorasch,4,138458,0.6748071343760367,0.06458775396859792,0.18788349062578286
assist2015,deep,dkt,0,134592,0.7269637354031173,0.010352402346514697,0.1705679778796238
assist2015,deep,dkt,1,134592,0.7262923978182605,0.008552483968632464,0.1706377280338248
assist2015,deep,dkt,2,134592,0.727098492027944,0.01010177396333063,0.1705619044499649
assist2015,deep,dkt,3,134592,0.7266269317816553,0.010431647588907633,0.1705927731575225
assist2015,deep,dkt,4,134592,0.7270830043183134,0.006998703502941397,0.17046756962049445
assist2015,deep,sakt,0,134592,0.7043429047615994,0.018219617245802105,0.17539439160066506
assist2015,deep,sakt,1,134592,0.7051278610425392,0.016674301729422834,0.1750558360651797
assist2015,deep,sakt,2,134592,0.7049351992704562,0.0230053055457305,0.17557362763675963
assist2015,deep,sakt,3,134592,0.704971672883099,0.02418661988830779,0.17556161298818118
assist2015,deep,sakt,4,134592,0.7046093122822397,0.018418895068949972,0.17530982103738707
assist2015,deep,akt,0,134592,0.7234014959855963,0.010453431085646642,0.1711102969383773
assist2015,deep,akt,1,134592,0.7226243506088893,0.00925182495893947,0.17125555233446454
assist2015,deep,akt,2,134592,0.7232843493609062,0.00943572291644017,0.17109380516174175
assist2015,deep,akt,3,134592,0.7223318412441126,0.009709882870401972,0.17132515028450804
assist2015,deep,akt,4,134592,0.7231790174081845,0.009268633546044165,0.17114068021646173
assist2015,deep,simplekt,0,134592,0.7178206478935458,0.0272427695923247,0.1732676411002443
assist2015,deep,simplekt,1,134592,0.7191666569014484,0.014348498503765005,0.17227010126733538
assist2015,deep,simplekt,2,134592,0.7177778606254495,0.016261414394798522,0.17272455255924596
assist2015,deep,simplekt,3,134592,0.7177779197700934,0.014107674133533862,0.17255057821650566
assist2015,deep,simplekt,4,134592,0.7157326720091484,0.031170920218377356,0.1736829256554382
assist2017,classical,bkt,0,178823,0.6364653199157344,0.01854000424101901,0.21975857930373818
assist2017,classical,bkt,1,178823,0.6363737467968266,0.0167007301112333,0.21974509470511075
assist2017,classical,bkt,2,178823,0.636227511781253,0.017237648100943682,0.21979380122913708
assist2017,classical,bkt,3,178823,0.6367196331467042,0.01829890963296504,0.21975080391618954
assist2017,classical,bkt,4,178823,0.6364865043853709,0.016367284479407954,0.21973846671479197
assist2017,classical,pfa,0,178823,0.6257765258491389,0.01414503359075221,0.22254663511901615
assist2017,classical,pfa,1,178823,0.6256276973362914,0.014287585010107256,0.22255701048255233
assist2017,classical,pfa,2,178823,0.6255958406273819,0.0145976913101834,0.22258088607633766
assist2017,classical,pfa,3,178823,0.6257928870782612,0.014254595987836278,0.22249805189122865
assist2017,classical,pfa,4,178823,0.6255796828754746,0.013992541484670808,0.2225527604052347
assist2017,classical,pfa_recency,0,178823,0.6303156793522469,0.0116116543327926,0.22160078280176645
assist2017,classical,pfa_recency,1,178823,0.6302348792065591,0.011779744032741278,0.22163283723072985
assist2017,classical,pfa_recency,2,178823,0.6301205042487628,0.011699881184631937,0.22163866984540337
assist2017,classical,pfa_recency,3,178823,0.6306549782110115,0.012635021877892278,0.22155392528809564
assist2017,classical,pfa_recency,4,178823,0.6302854562211102,0.01180963362440025,0.22160421864690988
assist2017,classical,elorasch,0,178823,0.6398857298376579,0.028824328729953077,0.22046505530550203
assist2017,classical,elorasch,1,178823,0.6400836609254875,0.027391008536600255,0.2203388082912965
assist2017,classical,elorasch,2,178823,0.6398738477863594,0.027428329040767457,0.22036563189217617
assist2017,classical,elorasch,3,178823,0.6401063950502666,0.028214573993785776,0.2203704756545154
assist2017,classical,elorasch,4,178823,0.6406972820322174,0.028382447104796503,0.22027232309798914
assist2017,deep,dkt,0,177767,0.716836392826679,0.013442861723491979,0.20131766421855574
assist2017,deep,dkt,1,177767,0.7163176244474316,0.022240656027271658,0.20197655861757244
assist2017,deep,dkt,2,177767,0.7131190836407219,0.011020922893450441,0.20218353183391743
assist2017,deep,dkt,3,177767,0.7165852622760434,0.01531263057822881,0.20148376295094142
assist2017,deep,dkt,4,177767,0.7132885993742691,0.023377948663137704,0.20274494901382145
assist2017,deep,sakt,0,177767,0.653685124424933,0.010869340203749848,0.2158301417866083
assist2017,deep,sakt,1,177767,0.6532769004026737,0.011386564998003014,0.2159531902507777
assist2017,deep,sakt,2,177767,0.6539321803934385,0.013168000810049124,0.2159575677208931
assist2017,deep,sakt,3,177767,0.6523673448467588,0.009450531313460875,0.21616126250507683
assist2017,deep,sakt,4,177767,0.6515520677728744,0.01054956487987084,0.2163333016762954
assist2017,deep,akt,0,177767,0.7582634008708029,0.015686176286937397,0.18832142314878464
assist2017,deep,akt,1,177767,0.7581711631691036,0.015769966304207194,0.18831920164563729
assist2017,deep,akt,2,177767,0.7576252449789743,0.01789159180275304,0.18868963358013582
assist2017,deep,akt,3,177767,0.7586108620662609,0.017125031080009238,0.188193991819179
assist2017,deep,akt,4,177767,0.7595075379614933,0.022009268874425492,0.1884464750491936
assist2017,deep,simplekt,0,177767,0.7549749276494286,0.028361385408990428,0.18985246780628576
assist2017,deep,simplekt,1,177767,0.7565163928364136,0.02129137466458904,0.18873508998273023
assist2017,deep,simplekt,2,177767,0.7546677641586393,0.019182570443333106,0.189273974366446
assist2017,deep,simplekt,3,177767,0.7510138850894168,0.016647426687742932,0.19048932198782675
assist2017,deep,simplekt,4,177767,0.757587888624079,0.03015831791052332,0.18888354611558955
bridge2algebra2006,classical,bkt,0,354262,0.7468104590575615,0.009520063612363933,0.11637169103457821
