dataset,fold,granularity,variant,best_single_model,best_single_selected_on,n_test,n_students,ccce_auc,ccce_ece,best_auc,delta_auc_vs_best,auc_p_vs_best,best_ece,delta_ece_vs_best,ece_p_vs_best,stack_auc,delta_auc_vs_stack,auc_p_vs_stack,stack_ece,delta_ece_vs_stack,ece_p_vs_stack,static_auc,delta_auc_vs_static,auc_p_vs_static,static_ece,delta_ece_vs_static,ece_p_vs_static,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,ece_p_vs_static_holm,ece_p_vs_static_reject_holm
assist2017,2,question,global_s1,akt,valid,177767,341,0.769161,0.006379,0.757625,0.011536,0.001,0.017892,-0.011512,0.001,0.768838,0.000323,0.261869,0.006615,-0.000235,0.735632,0.769395,-0.000234,0.001,0.005821,0.000558,0.509745,0.02,True,0.02,True,1.0,False,1.0,False,0.02,True,1.0,False
assist2017,2,question,no_s3,akt,valid,177767,341,0.767355,0.010352,0.757625,0.00973,0.001,0.017892,-0.00754,0.001,0.768838,-0.001483,0.001,0.006615,0.003737,0.001,0.769395,-0.00204,0.001,0.005821,0.004531,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2017,3,question,full,akt,valid,177767,341,0.768186,0.013488,0.758611,0.009576,0.001,0.017125,-0.003637,0.001999,0.769464,-0.001277,0.001999,0.004106,0.009382,0.001,0.769895,-0.001708,0.001,0.004348,0.00914,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2017,3,question,no_s1,akt,valid,177767,341,0.76974,0.005705,0.758611,0.011129,0.001,0.017125,-0.01142,0.001,0.769464,0.000276,0.276862,0.004106,0.001598,0.210895,0.769895,-0.000155,0.001,0.004348,0.001356,0.102949,0.02,True,0.02,True,1.0,False,1.0,False,0.02,True,0.926541,False
assist2017,3,question,global_s1,akt,valid,177767,341,0.769773,0.0064,0.758611,0.011162,0.001,0.017125,-0.010725,0.001,0.769464,0.000309,0.228886,0.004106,0.002294,0.102949,0.769895,-0.000121,0.01999,0.004348,0.002052,0.028986,0.02,True,0.02,True,1.0,False,1.0,False,0.05997,False,0.28986,False
assist2017,3,question,no_s3,akt,valid,177767,341,0.768367,0.011491,0.758611,0.009756,0.001,0.017125,-0.005634,0.002999,0.769464,-0.001097,0.003998,0.004106,0.007384,0.001,0.769895,-0.001528,0.001,0.004348,0.007142,0.001,0.02,True,0.02,True,0.035982,True,0.02,True,0.02,True,0.02,True
assist2017,4,question,full,simplekt,valid,177767,341,0.77006,0.011554,0.757588,0.012472,0.001,0.030158,-0.018604,0.001,0.772106,-0.002046,0.001,0.007574,0.003981,0.027986,0.772146,-0.002086,0.001,0.006403,0.005152,0.001,0.02,True,0.02,True,0.02,True,0.307846,False,0.02,True,0.02,True
assist2017,4,question,no_s1,simplekt,valid,177767,341,0.772037,0.004671,0.757588,0.014449,0.001,0.030158,-0.025488,0.001,0.772106,-6.9e-05,0.768616,0.007574,-0.002903,0.104948,0.772146,-0.000109,0.001,0.006403,-0.001732,0.137931,0.02,True,0.02,True,1.0,False,1.0,False,0.02,True,1.0,False
assist2017,4,question,global_s1,simplekt,valid,177767,341,0.772108,0.004191,0.757588,0.01452,0.001,0.030158,-0.025968,0.001,0.772106,2e-06,0.992504,0.007574,-0.003383,0.117941,0.772146,-3.8e-05,0.610695,0.006403,-0.002212,0.182909,0.02,True,0.02,True,1.0,False,1.0,False,0.610695,False,1.0,False
assist2017,4,question,no_s3,simplekt,valid,177767,341,0.770186,0.010815,0.757588,0.012599,0.001,0.030158,-0.019343,0.001,0.772106,-0.001919,0.001,0.007574,0.003242,0.002999,0.772146,-0.00196,0.001,0.006403,0.004413,0.001,0.02,True,0.02,True,0.02,True,0.035988,True,0.02,True,0.02,True
