dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
bridge2algebra2006,0,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,277809,353631,0.821111,0.003242,0.103722,0.820759,0.003129,0.10412,0.815386,0.012555,0.105607,0.808154,0.008748,0.107026,0.814148,0.011228,0.105348,0.005994,-0.006612,-0.006963,0.00248,0.008099,0.007987,0.821039,0.003777,0.103757,0.012885,0.000279,-7.2e-05,-0.004971,0.000648,0.000535,0.820995,0.003792,0.103762,0.012842,0.000236,-0.000116,-0.004956,0.000663,0.00055,0.81433,0.010814,0.105277,0.006177,-0.006429,-0.006781,0.002066,0.007685,0.007572
bridge2algebra2006,1,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,287732,353631,0.822941,0.004135,0.103247,0.822468,0.003673,0.103466,0.817539,0.013778,0.105074,0.807108,0.006646,0.107421,0.816433,0.011548,0.104773,0.009325,-0.006036,-0.006508,0.004901,0.007874,0.007413,0.822861,0.0052,0.103307,0.015753,0.000392,-8e-05,-0.001447,0.001527,0.001065,0.822915,0.004879,0.103262,0.015807,0.000446,-2.6e-05,-0.001767,0.001206,0.000745,0.81663,0.01151,0.10471,0.009522,-0.005838,-0.00631,0.004864,0.007837,0.007375
bridge2algebra2006,2,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,302714,353631,0.822379,0.005171,0.103308,0.822513,0.003611,0.103585,0.817788,0.013696,0.104887,0.807853,0.007181,0.107228,0.816831,0.011409,0.104634,0.008977,-0.005682,-0.005549,0.004228,0.007798,0.006238,0.822261,0.005236,0.103356,0.014407,-0.000252,-0.000119,-0.001945,0.001625,6.5e-05,0.822473,0.005316,0.103307,0.014619,-4e-05,9.3e-05,-0.001865,0.001705,0.000145,0.816947,0.010686,0.104565,0.009093,-0.005566,-0.005433,0.003505,0.007075,0.005515
bridge2algebra2006,3,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,308962,353631,0.820311,0.005135,0.103951,0.819399,0.004295,0.1045,0.813889,0.015728,0.10619,0.806142,0.006656,0.107615,0.813851,0.012362,0.105332,0.007708,-0.005548,-0.006461,0.005706,0.008067,0.007227,0.820208,0.005962,0.103993,0.014065,0.000809,-0.000104,-0.000694,0.001666,0.000827,0.820236,0.006068,0.103966,0.014094,0.000837,-7.5e-05,-0.000588,0.001773,0.000933,0.813979,0.01132,0.105269,0.007837,-0.00542,-0.006332,0.004664,0.007025,0.006185
bridge2algebra2006,4,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,283782,353631,0.821331,0.003642,0.103869,0.819331,0.0021,0.104274,0.812903,0.015974,0.105799,0.806228,0.009248,0.107816,0.815023,0.010565,0.105504,0.008795,-0.004309,-0.006308,0.001317,0.008464,0.006923,0.821268,0.003837,0.103909,0.01504,0.001937,-6.3e-05,-0.005411,0.001737,0.000195,0.821293,0.004244,0.103898,0.015065,0.001962,-3.8e-05,-0.005004,0.002144,0.000602,0.81519,0.010508,0.105416,0.008962,-0.004142,-0.006141,0.00126,0.008408,0.006866
assist2012,0,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,439766,536087,0.778567,0.001786,0.166071,0.777844,0.002034,0.166303,0.771622,0.026284,0.169221,0.772909,0.014972,0.168261,0.777309,0.005802,0.166764,0.004401,-0.000534,-0.001258,-0.00917,0.003768,0.004016,0.778508,0.002214,0.166091,0.0056,0.000665,-5.9e-05,-0.012758,0.00018,0.000428,0.778455,0.0019,0.166101,0.005546,0.000611,-0.000112,-0.013071,-0.000133,0.000114,0.777397,0.006202,0.16673,0.004489,-0.000446,-0.00117,-0.00877,0.004168,0.004416
assist2012,1,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,432602,536087,0.778928,0.003211,0.166014,0.778036,0.002072,0.166272,0.771671,0.024466,0.169108,0.772772,0.014931,0.168316,0.777452,0.007038,0.166698,0.00468,-0.000583,-0.001476,-0.007893,0.004967,0.003827,0.77884,0.003913,0.166058,0.006067,0.000804,-8.9e-05,-0.011018,0.001842,0.000702,0.778834,0.003735,0.166051,0.006061,0.000798,-9.5e-05,-0.011196,0.001664,0.000524,0.77754,0.007784,0.166669,0.004768,-0.000496,-0.001388,-0.007147,0.005712,0.004572
assist2012,2,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,424912,536087,0.778502,0.002753,0.16613,0.777755,0.001817,0.16635,0.770889,0.02433,0.169446,0.771734,0.014765,0.168718,0.777008,0.006925,0.166873,0.005274,-0.000746,-0.001494,-0.007841,0.005107,0.004172,0.778439,0.002448,0.166158,0.006705,0.000685,-6.3e-05,-0.012318,0.00063,-0.000305,0.778425,0.002735,0.166145,0.006691,0.000671,-7.7e-05,-0.012031,0.000917,-1.9e-05,0.777065,0.007136,0.166848,0.005331,-0.000689,-0.001437,-0.00763,0.005318,0.004382
assist2012,3,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,419158,536087,0.778609,0.002627,0.166109,0.777817,0.001637,0.166317,0.771283,0.024792,0.169284,0.771509,0.01414,0.168699,0.777264,0.007866,0.166778,0.005755,-0.000553,-0.001345,-0.006275,0.006228,0.005239,0.778536,0.003067,0.166147,0.007027,0.000719,-7.3e-05,-0.011074,0.001429,0.00044,0.778491,0.003158,0.166166,0.006982,0.000674,-0.000118,-0.010982,0.001521,0.000532,0.777328,0.0083,0.166768,0.005819,-0.000489,-0.001281,-0.005841,0.006662,0.005673
assist2012,4,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,423475,536087,0.778707,0.002455,0.166066,0.778014,0.002029,0.166279,0.771679,0.022788,0.169189,0.772492,0.012622,0.168315,0.77727,0.007111,0.166753,0.004778,-0.000744,-0.001436,-0.00551,0.005082,0.004657,0.778635,0.002611,0.166104,0.006142,0.000621,-7.2e-05,-0.010011,0.000582,0.000156,0.77871,0.002964,0.166059,0.006218,0.000696,4e-06,-0.009658,0.000935,0.000509,0.777368,0.007107,0.166726,0.004875,-0.000646,-0.001339,-0.005514,0.005079,0.004653
ednet,0,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,181289,301372,0.940415,0.004495,0.0871,0.94067,0.006068,0.086943,0.936392,0.011862,0.089761,0.940611,0.02186,0.088204,0.936588,0.012479,0.088825,-0.004022,-0.004082,-0.003827,-0.009382,0.006411,0.007983,0.940372,0.004779,0.087074,-0.000238,-0.000298,-4.3e-05,-0.017081,-0.001289,0.000284,0.940592,0.00476,0.086926,-1.9e-05,-7.8e-05,0.000177,-0.017101,-0.001308,0.000264,0.937593,0.011826,0.088744,-0.003018,-0.003077,-0.002822,-0.010034,0.005758,0.007331
ednet,1,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,258480,301372,0.941373,0.007975,0.086608,0.941491,0.009105,0.086619,0.936344,0.009624,0.089546,0.941215,0.013728,0.087027,0.938436,0.011049,0.087819,-0.002779,-0.003055,-0.002937,-0.002679,0.001944,0.003074,0.94132,0.006817,0.086585,0.000105,-0.000171,-5.3e-05,-0.006911,-0.002288,-0.001158,0.941399,0.006923,0.086523,0.000185,-9.2e-05,2.7e-05,-0.006805,-0.002182,-0.001052,0.939344,0.00987,0.087774,-0.001871,-0.002148,-0.002029,-0.003858,0.000765,0.001895
ednet,2,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,191811,301372,0.93995,0.003946,0.087408,0.940307,0.006546,0.087195,0.936457,0.012856,0.08978,0.940673,0.020558,0.088107,0.936187,0.012297,0.088824,-0.004486,-0.004121,-0.003763,-0.008261,0.005751,0.008351,0.939906,0.004516,0.087393,-0.000767,-0.000402,-4.4e-05,-0.016042,-0.002031,0.00057,0.94049,0.004469,0.086962,-0.000183,0.000182,0.00054,-0.016089,-0.002078,0.000523,0.937279,0.011246,0.088746,-0.003394,-0.003029,-0.002671,-0.009312,0.0047,0.0073
ednet,3,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,215928,301372,0.940029,0.007881,0.087345,0.940179,0.010599,0.087395,0.936519,0.011404,0.089574,0.940562,0.019548,0.087984,0.937661,0.011425,0.088283,-0.0029,-0.002517,-0.002368,-0.008123,0.000826,0.003544,0.93999,0.005181,0.087303,-0.000572,-0.000189,-3.9e-05,-0.014367,-0.005417,-0.0027,0.940581,0.005377,0.086875,1.9e-05,0.000402,0.000552,-0.014172,-0.005222,-0.002505,0.938599,0.010072,0.088213,-0.001963,-0.00158,-0.001431,-0.009476,-0.000527,0.002191
ednet,4,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,215744,301372,0.940855,0.002913,0.086807,0.940694,0.002106,0.086917,0.936266,0.012237,0.089826,0.940598,0.021363,0.088375,0.937938,0.009923,0.088233,-0.00266,-0.002756,-0.002918,-0.01144,0.007816,0.00701,0.94082,0.003584,0.086838,0.000223,0.000126,-3.5e-05,-0.017779,0.001478,0.000671,0.940823,0.003876,0.086787,0.000225,0.000129,-3.2e-05,-0.017487,0.00177,0.000963,0.938314,0.009734,0.088183,-0.002284,-0.00238,-0.002541,-0.011629,0.007627,0.006821
