dataset,fold,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,n_concepts_fit,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2015,3,linear_gating,bkt,valid,138458,3818,cluster,-1,0.697456,0.017683,0.698987,-0.001531,-0.002854,-0.00024,0.017,0.008391,0.009292,0.0,0.706967,-0.009511,-0.011087,-0.008098,0.0,0.004517,0.013166,0.0,0.068,False,0.0,True,0.0,True,0.0,True
assist2015,4,static_concept_weights,bkt,valid,138458,3818,cluster,100,0.707412,0.004477,0.699203,0.008209,0.00609,0.010247,0.0,0.007015,-0.002538,0.042,0.706652,0.00076,-0.000983,0.002186,0.327,0.006304,-0.001827,0.311,0.0,True,0.38,False,0.327,False,1.0,False
assist2015,4,global_stack_concept_intercept,bkt,valid,138458,3818,cluster,100,0.70963,0.005077,0.699203,0.010427,0.008785,0.012237,0.0,0.007015,-0.001938,0.081,0.706652,0.002977,0.002122,0.003872,0.0,0.006304,-0.001227,0.51,0.0,True,0.648,False,0.0,True,1.0,False
assist2015,4,linear_gating,bkt,valid,138458,3818,cluster,-1,0.700072,0.018593,0.699203,0.00087,-0.00032,0.002074,0.136,0.007015,0.011579,0.0,0.706652,-0.00658,-0.007579,-0.005613,0.0,0.006304,0.01229,0.0,0.136,False,0.0,True,0.0,True,0.0,True
assist2017,0,static_concept_weights,elorasch,valid,178823,341,cluster,90,0.655344,0.008371,0.639886,0.015458,0.012538,0.01847,0.0,0.028824,-0.020454,0.0,0.654412,0.000932,-0.000237,0.002148,0.121,0.010094,-0.001723,0.077,0.0,True,0.0,True,0.124,False,0.693,False
assist2017,0,global_stack_concept_intercept,elorasch,valid,178823,341,cluster,90,0.655277,0.009718,0.639886,0.015392,0.01242,0.018305,0.0,0.028824,-0.019107,0.0,0.654412,0.000866,-3.5e-05,0.001758,0.062,0.010094,-0.000376,0.565,0.0,True,0.0,True,0.124,False,1.0,False
assist2017,0,linear_gating,elorasch,valid,178823,341,cluster,-1,0.650355,0.027905,0.639886,0.010469,0.007192,0.014112,0.0,0.028824,-0.000919,0.694,0.654412,-0.004057,-0.005425,-0.002686,0.0,0.010094,0.017811,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2017,1,static_concept_weights,elorasch,valid,178823,341,cluster,89,0.655947,0.010111,0.640084,0.015864,0.013041,0.018759,0.0,0.027391,-0.01728,0.0,0.654456,0.001492,0.000324,0.002737,0.015,0.010512,-0.000401,0.626,0.0,True,0.0,True,0.075,False,1.0,False
assist2017,1,global_stack_concept_intercept,elorasch,valid,178823,341,cluster,89,0.656229,0.008885,0.640084,0.016146,0.013375,0.018948,0.0,0.027391,-0.018506,0.0,0.654456,0.001774,0.000995,0.002555,0.0,0.010512,-0.001627,0.173,0.0,True,0.0,True,0.0,True,1.0,False
assist2017,1,linear_gating,elorasch,valid,178823,341,cluster,-1,0.650412,0.027787,0.640084,0.010329,0.007164,0.013826,0.0,0.027391,0.000396,0.749,0.654456,-0.004043,-0.005395,-0.002724,0.0,0.010512,0.017275,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2017,2,static_concept_weights,elorasch,valid,178823,341,cluster,89,0.655889,0.008934,0.639874,0.016015,0.013254,0.018905,0.0,0.027428,-0.018494,0.0,0.654314,0.001575,0.000274,0.002824,0.019,0.01149,-0.002555,0.099,0.0,True,0.0,True,0.076,False,0.792,False
assist2017,2,global_stack_concept_intercept,elorasch,valid,178823,341,cluster,89,0.65582,0.009204,0.639874,0.015947,0.013172,0.018702,0.0,0.027428,-0.018224,0.0,0.654314,0.001507,0.000665,0.00235,0.0,0.01149,-0.002285,0.025,0.0,True,0.0,True,0.0,True,0.25,False
assist2017,2,linear_gating,elorasch,valid,178823,341,cluster,-1,0.650127,0.027399,0.639874,0.010254,0.007013,0.013815,0.0,0.027428,-2.9e-05,0.809,0.654314,-0.004186,-0.005574,-0.002837,0.0,0.01149,0.01591,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2017,3,static_concept_weights,elorasch,valid,178823,341,cluster,91,0.656514,0.011023,0.640106,0.016407,0.013726,0.019162,0.0,0.028215,-0.017191,0.0,0.654629,0.001884,0.000768,0.003012,0.002,0.011962,-0.000938,0.293,0.0,True,0.0,True,0.012,True,1.0,False
assist2017,3,global_stack_concept_intercept,elorasch,valid,178823,341,cluster,91,0.656578,0.011658,0.640106,0.016471,0.013786,0.019153,0.0,0.028215,-0.016557,0.0,0.654629,0.001948,0.001192,0.002691,0.0,0.011962,-0.000304,0.602,0.0,True,0.0,True,0.0,True,1.0,False
assist2017,3,linear_gating,elorasch,valid,178823,341,cluster,-1,0.649744,0.026427,0.640106,0.009638,0.006387,0.013215,0.0,0.028215,-0.001787,0.283,0.654629,-0.004885,-0.006218,-0.003607,0.0,0.011962,0.014466,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2017,4,static_concept_weights,elorasch,valid,178823,341,cluster,90,0.656064,0.009809,0.640697,0.015367,0.012538,0.018204,0.0,0.028382,-0.018574,0.0,0.654598,0.001466,0.00024,0.002615,0.026,0.010716,-0.000907,0.54,0.0,True,0.0,True,0.078,False,1.0,False
assist2017,4,global_stack_concept_intercept,elorasch,valid,178823,341,cluster,90,0.655962,0.009659,0.640697,0.015265,0.012652,0.017879,0.0,0.028382,-0.018724,0.0,0.654598,0.001365,0.00061,0.00211,0.0,0.010716,-0.001058,0.108,0.0,True,0.0,True,0.0,True,0.792,False
assist2017,4,linear_gating,elorasch,valid,178823,341,cluster,-1,0.649561,0.026341,0.640697,0.008864,0.005571,0.012444,0.0,0.028382,-0.002042,0.141,0.654598,-0.005037,-0.006487,-0.003643,0.0,0.010716,0.015625,0.0,0.0,True,0.705,False,0.0,True,0.0,True
algebra2005,0,static_concept_weights,bkt,valid,93595,114,cluster,61,0.76232,0.008682,0.750809,0.011511,0.00642,0.015583,0.001,0.013983,-0.005301,0.063,0.758411,0.003909,0.001488,0.006015,0.001,0.014264,-0.005582,0.023,0.007,True,0.6960000000000001,False,0.003,True,0.322,False
algebra2005,0,global_stack_concept_intercept,bkt,valid,93595,114,cluster,61,0.762031,0.008773,0.750809,0.011222,0.006401,0.01503,0.0,0.013983,-0.00521,0.058,0.758411,0.00362,0.001858,0.0052,0.0,0.014264,-0.005491,0.008,0.0,True,0.6960000000000001,False,0.0,True,0.12,False
algebra2005,0,linear_gating,bkt,valid,93595,114,cluster,-1,0.753072,0.016091,0.750809,0.002262,-0.001079,0.004975,0.212,0.013983,0.002108,0.676,0.758411,-0.005339,-0.006873,-0.00393,0.0,0.014264,0.001827,0.427,0.848,False,1.0,False,0.0,True,1.0,False
algebra2005,1,static_concept_weights,bkt,valid,93595,114,cluster,65,0.763057,0.016333,0.750079,0.012977,0.007872,0.017185,0.0,0.01567,0.000664,0.929,0.758625,0.004432,0.002577,0.005997,0.0,0.017044,-0.000711,0.393,0.0,True,1.0,False,0.0,True,1.0,False
algebra2005,1,global_stack_concept_intercept,bkt,valid,93595,114,cluster,65,0.762532,0.016043,0.750079,0.012453,0.007492,0.016305,0.0,0.01567,0.000374,0.962,0.758625,0.003907,0.002279,0.005296,0.0,0.017044,-0.001001,0.281,0.0,True,1.0,False,0.0,True,1.0,False
algebra2005,1,linear_gating,bkt,valid,93595,114,cluster,-1,0.753198,0.017334,0.750079,0.003118,-0.000693,0.006024,0.124,0.01567,0.001664,0.654,0.758625,-0.005427,-0.007149,-0.003812,0.0,0.017044,0.00029,0.752,0.62,False,1.0,False,0.0,True,1.0,False
algebra2005,2,static_concept_weights,bkt,valid,93595,114,cluster,62,0.761992,0.008582,0.750231,0.011761,0.006855,0.01559,0.0,0.012839,-0.004257,0.042,0.75754,0.004453,0.002395,0.006374,0.0,0.011937,-0.003355,0.067,0.0,True,0.546,False,0.0,True,0.7370000000000001,False
algebra2005,2,global_stack_concept_intercept,bkt,valid,93595,114,cluster,62,0.761258,0.007899,0.750231,0.011027,0.005851,0.014951,0.0,0.012839,-0.00494,0.033,0.75754,0.003719,0.001525,0.005542,0.001,0.011937,-0.004039,0.039,0.0,True,0.462,False,0.003,True,0.507,False
algebra2005,2,linear_gating,bkt,valid,93595,114,cluster,-1,0.751874,0.017131,0.750231,0.001643,-0.001624,0.004121,0.342,0.012839,0.004292,0.148,0.75754,-0.005666,-0.007301,-0.004146,0.0,0.011937,0.005194,0.071,1.0,False,1.0,False,0.0,True,0.7370000000000001,False
algebra2005,3,static_concept_weights,bkt,valid,93595,114,cluster,61,0.762992,0.01069,0.750609,0.012383,0.007324,0.016344,0.0,0.014198,-0.003508,0.19,0.757821,0.00517,0.002737,0.007145,0.0,0.013048,-0.002357,0.38,0.0,True,1.0,False,0.0,True,1.0,False
algebra2005,3,global_stack_concept_intercept,bkt,valid,93595,114,cluster,61,0.762117,0.010803,0.750609,0.011508,0.006522,0.01547,0.0,0.014198,-0.003395,0.249,0.757821,0.004295,0.002066,0.006094,0.0,0.013048,-0.002244,0.45,0.0,True,1.0,False,0.0,True,1.0,False
