dataset,fold,scheme,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,fit_sec,scheme_auc,scheme_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,static_auc,delta_auc_vs_static,auc_ci_low_vs_static,auc_ci_high_vs_static,auc_p_vs_static,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm
assist2017,3,moe,akt,valid,177767,341,cluster,0.3,0.763226,0.016536,0.758611,0.004616,0.003563,0.0057,0.0,0.017114,-0.000578,0.649,0.769895,-0.006668,-0.00762,-0.005724,0.0,0.769464,-0.006237,-0.007054,-0.005441,0.0,0.0,True,1.0,False,0.0,True,0.0,True
assist2017,4,attention,simplekt,valid,177767,341,cluster,0.5,0.771342,0.0211,0.757588,0.013754,0.012552,0.014968,0.0,0.030158,-0.009058,0.0,0.772146,-0.000804,-0.001384,-0.000198,0.007,0.772106,-0.000764,-0.001159,-0.000408,0.0,0.0,True,0.0,True,0.007,True,0.0,True
assist2017,4,moe,simplekt,valid,177767,341,cluster,0.2,0.766719,0.018272,0.757588,0.009131,0.007931,0.010374,0.0,0.030158,-0.011886,0.0,0.772146,-0.005427,-0.006328,-0.004551,0.0,0.772106,-0.005387,-0.006116,-0.004637,0.0,0.0,True,0.0,True,0.0,True,0.0,True
algebra2005,0,attention,simplekt,valid,134674,114,cluster,0.5,0.93139,0.006527,0.92167,0.00972,0.008689,0.01074,0.0,0.023673,-0.017146,0.0,0.931894,-0.000503,-0.000868,-0.000132,0.01,0.930244,0.001146,0.000852,0.001446,0.0,0.0,True,0.0,True,0.02,True,0.0,True
algebra2005,0,moe,simplekt,valid,134674,114,cluster,0.3,0.928609,0.004263,0.92167,0.006939,0.005765,0.008063,0.0,0.023673,-0.01941,0.0,0.931894,-0.003285,-0.003772,-0.002784,0.0,0.930244,-0.001636,-0.002159,-0.001143,0.0,0.0,True,0.0,True,0.0,True,0.0,True
algebra2005,1,attention,dkt,valid,134674,114,cluster,0.5,0.929845,0.010752,0.919094,0.010751,0.009968,0.011638,0.0,0.006517,0.004235,0.158,0.930502,-0.000657,-0.000948,-0.000358,0.0,0.928356,0.001489,0.001221,0.001766,0.0,0.0,True,0.632,False,0.0,True,0.0,True
algebra2005,1,moe,dkt,valid,134674,114,cluster,0.6,0.928543,0.008819,0.919094,0.009449,0.008574,0.010399,0.0,0.006517,0.002302,0.381,0.930502,-0.001959,-0.002357,-0.001532,0.0,0.928356,0.000187,-0.000226,0.000602,0.365,0.0,True,0.762,False,0.0,True,0.365,False
algebra2005,2,attention,simplekt,valid,134674,114,cluster,0.4,0.931086,0.014665,0.922659,0.008427,0.007494,0.009326,0.0,0.029509,-0.014844,0.0,0.931982,-0.000896,-0.001212,-0.000507,0.0,0.930254,0.000832,0.00058,0.001111,0.0,0.0,True,0.0,True,0.0,True,0.0,True
algebra2005,2,moe,simplekt,valid,134674,114,cluster,0.5,0.928178,0.012386,0.922659,0.005518,0.004385,0.00656,0.0,0.029509,-0.017123,0.0,0.931982,-0.003804,-0.004277,-0.003297,0.0,0.930254,-0.002076,-0.002512,-0.001675,0.0,0.0,True,0.0,True,0.0,True,0.0,True
algebra2005,3,attention,simplekt,valid,134674,114,cluster,0.4,0.931077,0.013239,0.923337,0.00774,0.006711,0.008655,0.0,0.029115,-0.015876,0.0,0.932104,-0.001027,-0.001455,-0.0006,0.001,0.930304,0.000773,0.000425,0.0011,0.0,0.0,True,0.0,True,0.003,True,0.0,True
algebra2005,3,moe,simplekt,valid,134674,114,cluster,0.5,0.928324,0.013158,0.923337,0.004987,0.003989,0.005952,0.0,0.029115,-0.015956,0.0,0.932104,-0.00378,-0.004387,-0.003108,0.0,0.930304,-0.00198,-0.002504,-0.001409,0.0,0.0,True,0.0,True,0.0,True,0.0,True
algebra2005,4,attention,dkt,valid,134674,114,cluster,0.4,0.931096,0.006642,0.920485,0.01061,0.009771,0.011509,0.0,0.006696,-5.5e-05,0.832,0.931189,-9.4e-05,-0.000528,0.000571,0.684,0.929469,0.001626,0.001333,0.001915,0.0,0.0,True,0.832,False,0.684,False,0.0,True
algebra2005,4,moe,dkt,valid,134674,114,cluster,0.3,0.928474,0.00344,0.920485,0.007989,0.007188,0.008952,0.0,0.006696,-0.003256,0.25,0.931189,-0.002715,-0.003357,-0.001933,0.0,0.929469,-0.000995,-0.001389,-0.000598,0.0,0.0,True,0.75,False,0.0,True,0.0,True
bridge2algebra2006,0,attention,simplekt,valid,353631,229,cluster,0.9,0.821314,0.007462,0.808154,0.01316,0.012217,0.014014,0.0,0.008748,-0.001287,0.619,0.821111,0.000203,-0.000381,0.000787,0.501,0.820759,0.000554,0.000115,0.001003,0.013,0.0,True,1.0,False,1.0,False,0.013,True
bridge2algebra2006,0,moe,simplekt,valid,353631,229,cluster,0.7,0.817565,0.004365,0.808154,0.009411,0.008417,0.010402,0.0,0.008748,-0.004383,0.02,0.821111,-0.003546,-0.004331,-0.002773,0.0,0.820759,-0.003195,-0.003971,-0.002417,0.0,0.0,True,0.2,False,0.0,True,0.0,True
bridge2algebra2006,1,attention,akt,valid,353631,229,cluster,0.9,0.823446,0.008148,0.807108,0.016338,0.014697,0.017928,0.0,0.006646,0.001502,0.306,0.822941,0.000505,-0.000106,0.001132,0.112,0.822468,0.000977,0.000535,0.001462,0.0,0.0,True,1.0,False,0.336,False,0.0,True
bridge2algebra2006,1,moe,akt,valid,353631,229,cluster,0.8,0.818311,0.004679,0.807108,0.011203,0.009795,0.012661,0.0,0.006646,-0.001967,0.281,0.822941,-0.00463,-0.005335,-0.003856,0.0,0.822468,-0.004158,-0.004921,-0.003301,0.0,0.0,True,1.0,False,0.0,True,0.0,True
bridge2algebra2006,2,attention,akt,valid,353631,229,cluster,1.0,0.823445,0.008222,0.807853,0.015591,0.014021,0.017061,0.0,0.007181,0.001041,0.553,0.822379,0.001065,0.000432,0.001691,0.0,0.822513,0.000932,0.000495,0.001365,0.0,0.0,True,1.0,False,0.0,True,0.0,True
bridge2algebra2006,2,moe,akt,valid,353631,229,cluster,1.0,0.818047,0.004793,0.807853,0.010194,0.008864,0.011476,0.0,0.007181,-0.002388,0.24,0.822379,-0.004332,-0.005066,-0.00362,0.0,0.822513,-0.004465,-0.005195,-0.003717,0.0,0.0,True,1.0,False,0.0,True,0.0,True
bridge2algebra2006,3,attention,akt,valid,353631,229,cluster,1.0,0.820254,0.009418,0.806142,0.014112,0.012748,0.015411,0.0,0.006656,0.002762,0.222,0.820311,-5.7e-05,-0.000683,0.000577,0.88,0.819399,0.000855,0.000385,0.001297,0.0,0.0,True,1.0,False,1.0,False,0.0,True
bridge2algebra2006,3,moe,akt,valid,353631,229,cluster,1.0,0.816534,0.005193,0.806142,0.010392,0.00902,0.011771,0.0,0.006656,-0.001463,0.562,0.820311,-0.003777,-0.004495,-0.002976,0.0,0.819399,-0.002865,-0.003591,-0.00212,0.0,0.0,True,1.0,False,0.0,True,0.0,True
bridge2algebra2006,4,attention,akt,valid,353631,229,cluster,0.9,0.819882,0.011852,0.806228,0.013654,0.012232,0.014995,0.0,0.009248,0.002604,0.104,0.821331,-0.001449,-0.002215,-0.000703,0.0,0.819331,0.000551,0.000117,0.000971,0.006,0.0,True,0.9359999999999999,False,0.0,True,0.012,True
