dataset,fold,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
algebra2005,1,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",112651,93595,65,0.762532,0.016043,0.149359,0.755001,0.026816,0.152536,0.758625,0.017044,0.150641,bkt,valid,bkt,0.750079,0.01567,0.15231,0.007531,0.012453,0.003907,-0.010772,0.000374,-0.001001
algebra2005,1,linear_gating,"bkt,pfa,pfa_recency,elorasch",112651,93595,-1,0.753198,0.017334,0.152306,0.755001,0.026816,0.152536,0.758625,0.017044,0.150641,bkt,valid,bkt,0.750079,0.01567,0.15231,-0.001803,0.003118,-0.005427,-0.009482,0.001664,0.00029
algebra2005,2,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",101425,93595,62,0.761992,0.008582,0.149223,0.753908,0.027419,0.15273,0.75754,0.011937,0.150356,bkt,valid,bkt,0.750231,0.012839,0.152387,0.008085,0.011761,0.004453,-0.018836,-0.004257,-0.003355
algebra2005,2,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",101425,93595,62,0.761258,0.007899,0.149296,0.753908,0.027419,0.15273,0.75754,0.011937,0.150356,bkt,valid,bkt,0.750231,0.012839,0.152387,0.00735,0.011027,0.003719,-0.01952,-0.00494,-0.004039
algebra2005,2,linear_gating,"bkt,pfa,pfa_recency,elorasch",101425,93595,-1,0.751874,0.017131,0.15242,0.753908,0.027419,0.15273,0.75754,0.011937,0.150356,bkt,valid,bkt,0.750231,0.012839,0.152387,-0.002034,0.001643,-0.005666,-0.010287,0.004292,0.005194
algebra2005,3,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",95608,93595,61,0.762992,0.01069,0.149294,0.753988,0.027804,0.152761,0.757821,0.013048,0.150326,bkt,valid,bkt,0.750609,0.014198,0.152319,0.009003,0.012383,0.00517,-0.017114,-0.003508,-0.002357
algebra2005,3,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",95608,93595,61,0.762117,0.010803,0.149236,0.753988,0.027804,0.152761,0.757821,0.013048,0.150326,bkt,valid,bkt,0.750609,0.014198,0.152319,0.008128,0.011508,0.004295,-0.017001,-0.003395,-0.002244
algebra2005,3,linear_gating,"bkt,pfa,pfa_recency,elorasch",95608,93595,-1,0.751034,0.017409,0.152667,0.753988,0.027804,0.152761,0.757821,0.013048,0.150326,bkt,valid,bkt,0.750609,0.014198,0.152319,-0.002954,0.000425,-0.006787,-0.010395,0.003211,0.004362
algebra2005,4,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",90089,93595,57,0.761997,0.009116,0.149592,0.754031,0.02792,0.152736,0.758038,0.011547,0.150257,bkt,valid,bkt,0.750802,0.01546,0.152331,0.007966,0.011194,0.003958,-0.018805,-0.006345,-0.002432
algebra2005,4,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",90089,93595,57,0.762062,0.008452,0.149105,0.754031,0.02792,0.152736,0.758038,0.011547,0.150257,bkt,valid,bkt,0.750802,0.01546,0.152331,0.008031,0.01126,0.004024,-0.019468,-0.007008,-0.003095
algebra2005,4,linear_gating,"bkt,pfa,pfa_recency,elorasch",90089,93595,-1,0.75027,0.016787,0.152684,0.754031,0.02792,0.152736,0.758038,0.011547,0.150257,bkt,valid,bkt,0.750802,0.01546,0.152331,-0.003761,-0.000532,-0.007768,-0.011133,0.001327,0.00524
bridge2algebra2006,0,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",278277,354262,344,0.760226,0.006543,0.114603,0.758094,0.032915,0.11638,0.758376,0.006262,0.114805,pfa_recency,valid,pfa_recency,0.74856,0.011658,0.117097,0.002132,0.011666,0.00185,-0.026372,-0.005115,0.000281
bridge2algebra2006,0,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",278277,354262,344,0.760334,0.005428,0.114577,0.758094,0.032915,0.11638,0.758376,0.006262,0.114805,pfa_recency,valid,pfa_recency,0.74856,0.011658,0.117097,0.00224,0.011774,0.001958,-0.027487,-0.00623,-0.000834
bridge2algebra2006,0,linear_gating,"bkt,pfa,pfa_recency,elorasch",278277,354262,-1,0.751216,0.021162,0.117294,0.758094,0.032915,0.11638,0.758376,0.006262,0.114805,pfa_recency,valid,pfa_recency,0.74856,0.011658,0.117097,-0.006878,0.002656,-0.00716,-0.011753,0.009504,0.0149
bridge2algebra2006,1,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",288069,354262,363,0.760062,0.003553,0.114622,0.7579,0.033924,0.116472,0.757933,0.007707,0.114862,bkt,valid,pfa_recency,0.746771,0.010514,0.116384,0.002162,0.013292,0.002129,-0.03037,-0.00696,-0.004154
bridge2algebra2006,1,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",288069,354262,363,0.759276,0.00568,0.114662,0.7579,0.033924,0.116472,0.757933,0.007707,0.114862,bkt,valid,pfa_recency,0.746771,0.010514,0.116384,0.001375,0.012505,0.001342,-0.028244,-0.004834,-0.002027
bridge2algebra2006,1,linear_gating,"bkt,pfa,pfa_recency,elorasch",288069,354262,-1,0.750657,0.020983,0.117472,0.7579,0.033924,0.116472,0.757933,0.007707,0.114862,bkt,valid,pfa_recency,0.746771,0.010514,0.116384,-0.007244,0.003886,-0.007277,-0.012941,0.010469,0.013276
bridge2algebra2006,2,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",303170,354262,370,0.759551,0.005595,0.114605,0.757779,0.031696,0.116324,0.758282,0.007817,0.114828,pfa_recency,valid,pfa_recency,0.748654,0.011067,0.117095,0.001772,0.010897,0.001269,-0.026101,-0.005472,-0.002222
bridge2algebra2006,2,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",303170,354262,370,0.76006,0.00596,0.114508,0.757779,0.031696,0.116324,0.758282,0.007817,0.114828,pfa_recency,valid,pfa_recency,0.748654,0.011067,0.117095,0.002281,0.011406,0.001778,-0.025736,-0.005107,-0.001858
bridge2algebra2006,2,linear_gating,"bkt,pfa,pfa_recency,elorasch",303170,354262,-1,0.750772,0.020229,0.117297,0.757779,0.031696,0.116324,0.758282,0.007817,0.114828,pfa_recency,valid,pfa_recency,0.748654,0.011067,0.117095,-0.007006,0.002119,-0.007509,-0.011466,0.009163,0.012412
