dataset,fold,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
assist2017,1,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",141938,177767,88,0.771343,0.004085,0.183409,0.763435,0.037727,0.188127,0.770683,0.004297,0.183613,akt,valid,akt,0.758171,0.015759,0.188319,0.007908,0.013172,0.00066,-0.033642,-0.011674,-0.000212
assist2017,1,linear_gating,"dkt,sakt,akt,simplekt",141938,177767,-1,0.764966,0.034097,0.187805,0.763435,0.037727,0.188127,0.770683,0.004297,0.183613,akt,valid,akt,0.758171,0.015759,0.188319,0.001531,0.006795,-0.005716,-0.00363,0.018339,0.0298
assist2017,2,static_concept_weights,"dkt,sakt,akt,simplekt",145879,177767,89,0.769396,0.005833,0.184158,0.76173,0.043908,0.189212,0.768838,0.006604,0.184331,akt,valid,akt,0.757625,0.017903,0.18869,0.007666,0.01177,0.000557,-0.038075,-0.01207,-0.000771
assist2017,2,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",145879,177767,89,0.769299,0.007222,0.184177,0.76173,0.043908,0.189212,0.768838,0.006604,0.184331,akt,valid,akt,0.757625,0.017903,0.18869,0.00757,0.011674,0.000461,-0.036686,-0.010681,0.000618
assist2017,2,linear_gating,"dkt,sakt,akt,simplekt",145879,177767,-1,0.764094,0.039405,0.188574,0.76173,0.043908,0.189212,0.768838,0.006604,0.184331,akt,valid,akt,0.757625,0.017903,0.18869,0.002364,0.006469,-0.004744,-0.004503,0.021502,0.032802
assist2017,3,static_concept_weights,"dkt,sakt,akt,simplekt",168980,177767,91,0.769895,0.00436,0.183863,0.763362,0.045767,0.188935,0.769464,0.004129,0.184,akt,valid,akt,0.758611,0.017114,0.188194,0.006533,0.011284,0.000431,-0.041407,-0.012754,0.000231
assist2017,3,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",168980,177767,91,0.770003,0.002789,0.183812,0.763362,0.045767,0.188935,0.769464,0.004129,0.184,akt,valid,akt,0.758611,0.017114,0.188194,0.006641,0.011392,0.000539,-0.042978,-0.014325,-0.00134
assist2017,3,linear_gating,"dkt,sakt,akt,simplekt",168980,177767,-1,0.763321,0.040402,0.189004,0.763362,0.045767,0.188935,0.769464,0.004129,0.184,akt,valid,akt,0.758611,0.017114,0.188194,-4e-05,0.004711,-0.006143,-0.005365,0.023288,0.036273
assist2017,4,static_concept_weights,"dkt,sakt,akt,simplekt",149617,177767,90,0.772146,0.006403,0.183178,0.765056,0.043458,0.18816,0.772106,0.007563,0.183199,simplekt,valid,akt,0.757588,0.030158,0.188883,0.00709,0.014558,4e-05,-0.037055,-0.023756,-0.00116
assist2017,4,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",149617,177767,90,0.772531,0.006384,0.183056,0.765056,0.043458,0.18816,0.772106,0.007563,0.183199,simplekt,valid,akt,0.757588,0.030158,0.188883,0.007475,0.014943,0.000425,-0.037073,-0.023774,-0.001178
assist2017,4,linear_gating,"dkt,sakt,akt,simplekt",149617,177767,-1,0.76606,0.036879,0.187651,0.765056,0.043458,0.18816,0.772106,0.007563,0.183199,simplekt,valid,akt,0.757588,0.030158,0.188883,0.001004,0.008472,-0.006046,-0.006578,0.006721,0.029317
algebra2005,0,static_concept_weights,"dkt,sakt,akt,simplekt",164550,134674,103,0.931894,0.005848,0.087731,0.92735,0.012641,0.09073,0.930244,0.006775,0.088723,simplekt,valid,simplekt,0.92167,0.023673,0.09472,0.004544,0.010224,0.00165,-0.006793,-0.017826,-0.000927
algebra2005,0,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",164550,134674,103,0.93046,0.006692,0.088486,0.92735,0.012641,0.09073,0.930244,0.006775,0.088723,simplekt,valid,simplekt,0.92167,0.023673,0.09472,0.00311,0.00879,0.000216,-0.005949,-0.016981,-8.3e-05
algebra2005,0,linear_gating,"dkt,sakt,akt,simplekt",164550,134674,-1,0.925503,0.022046,0.093021,0.92735,0.012641,0.09073,0.930244,0.006775,0.088723,simplekt,valid,simplekt,0.92167,0.023673,0.09472,-0.001847,0.003833,-0.004741,0.009405,-0.001627,0.015271
algebra2005,1,static_concept_weights,"dkt,sakt,akt,simplekt",163830,134674,102,0.930502,0.006174,0.088757,0.925269,0.01372,0.092153,0.928356,0.006756,0.090061,dkt,valid,simplekt,0.919094,0.006517,0.094264,0.005233,0.011408,0.002146,-0.007545,-0.000343,-0.000581
algebra2005,1,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",163830,134674,102,0.92887,0.005734,0.089551,0.925269,0.01372,0.092153,0.928356,0.006756,0.090061,dkt,valid,simplekt,0.919094,0.006517,0.094264,0.003601,0.009776,0.000514,-0.007986,-0.000783,-0.001022
algebra2005,1,linear_gating,"dkt,sakt,akt,simplekt",163830,134674,-1,0.923903,0.02709,0.094695,0.925269,0.01372,0.092153,0.928356,0.006756,0.090061,dkt,valid,simplekt,0.919094,0.006517,0.094264,-0.001366,0.004809,-0.004453,0.01337,0.020573,0.020334
