dataset,fold,subset,meta_learner,models_in_subset,best_single_model,best_single_selected_on,n_valid,n_test,n_students,stacked_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,stacked_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
assist2009,4,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,44892,52254,770,0.782027,0.766135,0.015892,0.013039,0.018861,0.0,0.010668,0.111292,-0.100624,-0.10604,-0.093369,0.0,0.0,True,0.0,True
assist2009,4,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,44892,52254,770,0.782042,0.766135,0.015907,0.013071,0.018862,0.0,0.011099,0.111292,-0.100193,-0.106146,-0.09318,0.0,0.0,True,0.0,True
assist2009,4,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,44892,52254,770,0.752466,0.766135,-0.013669,-0.020254,-0.007231,0.0,0.019178,0.111292,-0.092114,-0.096679,-0.086547,0.0,0.0,True,0.0,True
assist2009,4,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,44892,52254,770,0.781955,0.766135,0.01582,0.012853,0.018789,0.0,0.009312,0.111292,-0.10198,-0.107755,-0.094549,0.0,0.0,True,0.0,True
assist2009,4,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,44892,52254,770,0.782433,0.766135,0.016298,0.013549,0.019163,0.0,0.007047,0.111292,-0.104245,-0.108808,-0.094452,0.0,0.0,True,0.0,True
assist2015,0,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,105831,138458,3818,0.706784,0.69884,0.007944,0.00667,0.009316,0.0,0.007482,0.007777,-0.000295,-0.002914,0.002249,0.823,0.0,True,1.0,False
assist2015,0,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,105831,138458,3818,0.706783,0.69884,0.007943,0.006669,0.009317,0.0,0.007488,0.007777,-0.000289,-0.002909,0.002251,0.82,0.0,True,1.0,False
assist2015,0,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,105831,138458,3818,0.69884,0.69884,0.0,0.0,0.0,1.0,0.007777,0.007777,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2015,0,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,105831,138458,3818,0.709755,0.69884,0.010916,0.009587,0.012391,0.0,0.0071,0.007777,-0.000677,-0.002889,0.002054,0.723,0.0,True,1.0,False
assist2015,0,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,105831,138458,3818,0.707423,0.69884,0.008583,0.007362,0.009914,0.0,0.005414,0.007777,-0.002363,-0.004834,0.001496,0.256,0.0,True,1.0,False
