dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
algebra2005,3,question,linear_gating,simplekt,valid,92945,114,cluster,0.826902,0.045055,0.816694,0.010209,0.00886,0.011458,0.001,0.066559,-0.021504,0.001,0.832396,-0.005494,-0.006338,-0.004584,0.001,0.011969,0.033086,0.001,0.015,True,0.015,True,0.015,True,0.015,True
algebra2005,4,question,static_concept_weights,akt,valid,92945,114,cluster,0.837544,0.00504,0.813399,0.024145,0.021563,0.026649,0.001,0.027323,-0.022284,0.001,0.830624,0.00692,0.005075,0.008672,0.001,0.014112,-0.009073,0.007996,0.015,True,0.015,True,0.015,True,0.07996,False
algebra2005,4,question,global_stack_concept_intercept,akt,valid,92945,114,cluster,0.831552,0.013507,0.813399,0.018153,0.016583,0.019666,0.001,0.027323,-0.013817,0.001,0.830624,0.000927,0.000394,0.00154,0.001999,0.014112,-0.000606,0.363818,0.015,True,0.015,True,0.015,True,1.0,False
algebra2005,4,question,linear_gating,akt,valid,92945,114,cluster,0.819774,0.039104,0.813399,0.006376,0.00404,0.008348,0.001,0.027323,0.01178,0.001,0.830624,-0.01085,-0.012829,-0.009151,0.001,0.014112,0.024991,0.001,0.015,True,0.015,True,0.015,True,0.015,True
bridge2algebra2006,0,question,static_concept_weights,simplekt,valid,352370,229,cluster,0.81998,0.003223,0.807972,0.012007,0.010929,0.013096,0.001,0.008721,-0.005498,0.012994,0.819735,0.000244,-0.000436,0.000898,0.472764,0.003304,-8.1e-05,0.901549,0.015,True,0.077964,False,0.7886070000000001,False,1.0,False
bridge2algebra2006,0,question,global_stack_concept_intercept,simplekt,valid,352370,229,cluster,0.820563,0.003061,0.807972,0.012591,0.011579,0.013579,0.001,0.008721,-0.00566,0.001,0.819735,0.000828,0.000452,0.001232,0.001,0.003304,-0.000243,0.668666,0.015,True,0.015,True,0.015,True,1.0,False
bridge2algebra2006,0,question,linear_gating,simplekt,valid,352370,229,cluster,0.803808,0.036906,0.807972,-0.004165,-0.005374,-0.002917,0.001,0.008721,0.028185,0.001,0.819735,-0.015928,-0.01694,-0.014981,0.001,0.003304,0.033602,0.001,0.015,True,0.015,True,0.015,True,0.015,True
bridge2algebra2006,1,question,static_concept_weights,akt,valid,352370,229,cluster,0.821856,0.004136,0.806718,0.015138,0.013443,0.01681,0.001,0.006749,-0.002613,0.117941,0.821489,0.000367,-0.000281,0.001037,0.262869,0.00363,0.000506,0.470765,0.015,True,0.25987,False,0.7886070000000001,False,1.0,False
bridge2algebra2006,1,question,global_stack_concept_intercept,akt,valid,352370,229,cluster,0.821937,0.002895,0.806718,0.015219,0.013501,0.016867,0.001,0.006749,-0.003854,0.057971,0.821489,0.000448,0.000114,0.000802,0.011994,0.00363,-0.000736,0.191904,0.015,True,0.25987,False,0.059969999999999996,False,1.0,False
bridge2algebra2006,1,question,linear_gating,akt,valid,352370,229,cluster,0.806031,0.04278,0.806718,-0.000687,-0.002769,0.001205,0.48076,0.006749,0.036031,0.001,0.821489,-0.015458,-0.016398,-0.014574,0.001,0.00363,0.03915,0.001,0.48076,False,0.015,True,0.015,True,0.015,True
